Year,Inflow,Stock,Outflow
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,0.0,0.0,0.0
2026,540.8316336585725,540.8316336585725,0.0
2027,530.730138612725,1071.554264552136,0.007507719161547962
2028,520.9648462094744,1592.4486988415483,0.07041192006202804
2029,510.33101368717996,2102.4917658979684,0.28794663075982047
2030,499.34977112243746,2601.030012453321,0.8115245670849157
2031,646.3321450192486,3245.5179768810162,1.8441805915533234
2032,501.7892393262369,3743.6665163283074,3.6406998789457687
2033,425.2562382025036,4162.4114791692255,6.5112753615854935
2034,347.82177683102606,4499.424392173391,10.808863826860106
2035,308.6607503699045,4791.1740544967615,16.911088046534434
2036,108.90776644170569,4874.883281176232,25.198539762234994
2037,93.63485935866899,4932.4907553760695,36.02738515883172
2038,97.08265187128346,4979.883946192286,49.68946105506676
2039,107.23275213887995,5020.741802885578,66.37489544558797
2040,104.8890893753853,5039.4955336758385,86.13535858512499
2041,134.42479667874466,5065.073148986794,108.84718136778916
2042,172.131697247655,5103.0269317501725,134.1779144842765
2043,169.44881211860766,5110.911608568182,161.56413530059845
2044,190.78110304628143,5111.48662818534,190.206083429123
2045,208.4515025679753,5100.854671232917,219.08345952039832
2046,228.9925068979652,5082.846941364105,247.00023676677722
2047,250.66742572485452,5060.854009366164,272.66035772279554
2048,271.12701813134805,5037.209300977495,294.7717265200168
2049,287.61649237116615,5012.655644932963,312.1701484156987
2050,294.73979766112836,4983.446566561332,323.9488760327596
