Year,Inflow (MW),Stock (MW),Outflow (MW)
2020,21.269236238804325,21.269236238804325,0.0
2021,21.970277209346627,43.2392181927655,0.00029525538545396895
2022,21.972766283515238,65.20920014672667,0.0027843295540636226
2023,21.981454645279626,87.17918210068785,0.011472691318445158
2024,22.002540758464974,109.14916405464902,0.03255880450380824
2025,22.04443856130272,131.1191460086102,0.07445660734155131
2026,73.93385740989508,204.9052433504665,0.14776006803877778
2027,74.05194291359632,278.6913406923228,0.26584557174001594
2028,74.23390057096931,352.47743803417904,0.4478032291130685
2029,74.50527176681548,426.26353537603535,0.7191744249591733
2030,74.89764422256536,500.04963271789165,1.1115468807090498
2031,163.5097553430529,661.8975872785821,1.6618007823623995
2032,164.26015271567536,823.7455418392726,2.41219815498487
2033,165.26215407690293,985.593496399963,3.4141995162125713
2034,166.57631266869566,1147.4414509606536,4.728358108005065
2035,168.27010878509708,1309.289405521344,6.422154224406707
2036,296.38753292080804,1597.109698979382,8.567239462769912
2037,299.0582452673464,1884.9299924374204,11.237951809308063
2038,302.3356991884379,2172.7502858954585,14.515405730399767
2039,306.30668962227935,2460.5705793534967,18.486396164241253
2040,311.06022377232443,2748.390872811535,23.239930314286312
2041,521.1040508060858,3240.6313577912297,28.863565826390925
2042,527.6830058736366,3732.871842770925,35.44252089394127
2043,535.3088494751247,4225.112327750619,43.06836449543028
2044,544.0800271949215,4717.352812730315,51.83954221522572
2045,554.0984643069436,5209.59329771001,61.85797932724872
2046,615.4608152273629,5751.829088220092,73.22502471728126
2047,628.2733057803267,6294.064878730173,86.03751527024512
2048,642.6215081592369,6836.300669240255,100.38571764915523
2049,658.5847910742501,7378.536459750337,116.34900056416848
2050,676.2263205809563,7920.772250260418,133.99053007087468
