Year,Inflow (MW),Stock (MW),Outflow (MW)
1993,0.3,0.3,0.0
1994,0.0,0.2999958354585636,4.164541436358135e-06
1995,0.6,0.8999608646336565,3.4970824906983195e-05
1996,0.0,0.8998311403980177,0.00012972423563884305
1997,0.6,1.4994677886942738,0.00036335170374385484
1998,1.8,3.2986354093852572,0.0008323793090167223
1999,99.0,102.2969390092641,0.0016964001211548778
2000,28.38,130.67232797413118,0.004611035132910105
2001,60.74,191.39462232661242,0.01770564751874471
2002,12.06,203.40079480281312,0.05382752379930729
2003,87.57,290.84016643985143,0.13062836296166755
2004,136.62,427.190983931157,0.26918250869443294
2005,128.65,555.3429144848332,0.4980694463238394
2006,924.05,1478.535608050105,0.8573064347279005
2007,263.9,1741.0262166333162,1.4093914167888932
2008,470.95,2209.6986209820434,2.277595651272765
2009,989.6,3195.6744970970976,3.62412388494561
2010,720.1,3910.118631850167,5.655865246930922
2011,1300.1,5201.566622282571,8.652009567595442
2012,966.85,6155.45533755314,12.961284729430929
2013,1389.056,7525.49099715957,19.020340393571054
2014,2129.8828333333236,9628.033778940293,27.340051552600837
2015,1484.683,11074.196422830926,38.520356109367555
2016,692.25,11713.172012646104,53.27441018482238
2017,396.8,12037.603377379968,72.36863526613527
2018,578.82,12519.897400632202,96.52597674776632
2019,335.15,12728.695333816915,126.35206681528814
2020,670.6673297860077,13237.08716136297,162.27550223995303
2021,2399.4767496586587,15432.033349382322,204.53056163930665
2022,2401.6529125530496,17580.637103489556,253.04915844581484
2023,1353.6936926436374,18626.671996901576,307.65879923161816
2024,1911.9913270671118,20170.774704992065,367.88861897662207
2025,526.5124382869917,20264.26828455944,433.0188587196181
2026,2130.7430735822722,21896.310676775836,498.700681365875
2027,1517.2363016382815,22843.260456097592,570.2865223165255
2028,1683.0528248848718,23884.265858259845,642.047422722619
2029,1702.8241411371491,24871.639671850964,715.45032754603
2030,2206.701155882571,26294.20497319632,784.1358545372156
2031,5715.840558732009,31161.822326356734,848.2232055715953
2032,5956.258689102779,36209.02450430427,909.0565111552464
2033,5803.402645877525,41074.38991876139,938.0372314203985
2034,5705.376628759377,45786.726466335975,993.0400811847954
2035,5447.067000924499,50194.46391363181,1039.329553628666
2036,2723.716973938662,51848.551085055034,1069.6298025154344
2037,2728.1179272774343,53458.332318406814,1118.336693925655
2038,2854.5289970705703,55156.71133429389,1156.1499811834942
2039,2806.858408998076,56741.17888216091,1222.390861131058
2040,2852.592654012691,58303.81889313836,1289.9526430352362
2041,5883.025890839372,62834.31919915307,1352.5255848246652
2042,5964.45521664445,67333.71901071469,1465.0554050828305
2043,5865.9103767069355,71572.8935590646,1626.7358283570252
2044,5833.056083141011,75593.44545628468,1812.5041859209302
2045,5917.3542447426325,79508.92496942995,2001.8747315973626
2046,4977.079686255527,82276.27376906993,2209.7308866155486
2047,5061.674510276351,84902.49371646646,2435.45456287982
2048,5225.2542244994,87465.36571361126,2662.3822273545998
2049,5355.967120432772,89933.4055821319,2887.927251912127
2050,5774.39538161848,92598.80049756545,3109.0004661849375
