Year,Inflow,Stock,Outflow
1993,0.3,0.3,0.0
1994,0.0,0.2999958354585636,4.164541436358135e-06
1995,0.6,0.8999608646336565,3.4970824906983195e-05
1996,0.0,0.8998311403980177,0.00012972423563884305
1997,0.6,1.4994677886942738,0.00036335170374385484
1998,1.8,3.2986354093852572,0.0008323793090167223
1999,99.0,102.2969390092641,0.0016964001211548778
2000,28.38,130.67232797413118,0.004611035132910105
2001,60.74,191.39462232661242,0.01770564751874471
2002,12.06,203.40079480281312,0.05382752379930729
2003,87.57,290.84016643985143,0.13062836296166755
2004,136.62,427.190983931157,0.26918250869443294
2005,128.65,555.3429144848332,0.4980694463238394
2006,924.05,1478.535608050105,0.8573064347279005
2007,263.9,1741.0262166333162,1.4093914167888932
2008,470.95,2209.6986209820434,2.277595651272765
2009,989.6,3195.6744970970976,3.62412388494561
2010,720.1,3910.118631850167,5.655865246930922
2011,1300.1,5201.566622282571,8.652009567595442
2012,966.85,6155.45533755314,12.961284729430929
2013,1389.056,7525.49099715957,19.020340393571054
2014,2129.8828333333236,9628.033778940293,27.340051552600837
2015,1484.683,11074.196422830926,38.520356109367555
2016,692.25,11713.172012646104,53.27441018482238
2017,396.8,12037.603377379968,72.36863526613527
2018,578.82,12519.897400632202,96.52597674776632
2019,335.15,12728.695333816915,126.35206681528814
2020,347.8493472176035,12914.269178794566,162.27550223995303
2021,360.54869443520715,13070.291792886683,204.52608034309063
2022,3386.6697071523204,16203.978276298245,252.98322374075835
2023,1260.9606357370749,17157.63474410727,307.30416792805124
2024,1778.0964589215143,18568.8698286029,366.86137442588347
2025,505.9549653106605,18644.039626672366,430.7851672411943
2026,1984.5961915700361,20134.06749129201,494.5683269503904
2027,1422.3742244971434,20993.03693502831,563.4047807608438
2028,1576.0495379940671,21937.677349392947,631.4091236294313
2029,1594.5209914271868,22832.294087358518,699.9042534616159
2030,2055.6129431664367,24125.494904894233,762.4121256307218
2031,5270.346183113543,28576.867437101842,818.9736509059333
2032,5482.612238927219,33188.57321399546,870.9064620335979
2033,5330.449991890881,37629.38615401618,889.6370518701631
2034,5229.795776950836,41926.05585213836,933.1260788286597
2035,4980.917457904635,45940.17703314716,966.7962768958288
2036,2475.252195349056,47431.82265929109,983.6065692051325
2037,2468.4128089864616,48881.97508205835,1018.260386219198
2038,2572.042797245229,50412.18853468521,1041.8293446183725
2039,2519.2220961181965,51837.37355545146,1094.0370753519464
2040,2552.566140742885,53241.78190396666,1148.157792227685
2041,5310.813303881038,57354.41371139284,1198.1814964548585
2042,5380.410465966803,61435.61318260719,1299.2109947524534
2043,5291.312307637158,65276.53003443047,1450.3954558138742
2044,5265.33538133742,68915.45946754563,1626.4059482222585
2045,5347.022722447658,72456.1888471416,1806.2933428516878
2046,4496.89045546651,74948.73191283779,2004.3473897703261
2047,4569.709362935431,77311.32097041995,2207.120305353263
2048,4715.525377697049,79614.93894970561,2411.9073984113925
2049,4844.81602646228,81831.03617364155,2628.71880252634
2050,5233.009513430819,84225.50470789197,2838.540979180396
