Year,Inflow,Stock,Outflow
1993,0.3,0.3,0.0
1994,0.0,0.2999958354585636,4.164541436358135e-06
1995,0.6,0.8999608646336565,3.4970824906983195e-05
1996,0.0,0.8998311403980177,0.00012972423563884305
1997,0.6,1.4994677886942738,0.00036335170374385484
1998,1.8,3.2986354093852572,0.0008323793090167223
1999,99.0,102.2969390092641,0.0016964001211548778
2000,28.38,130.67232797413118,0.004611035132910105
2001,60.74,191.39462232661242,0.01770564751874471
2002,12.06,203.40079480281312,0.05382752379930729
2003,87.57,290.84016643985143,0.13062836296166755
2004,136.62,427.190983931157,0.26918250869443294
2005,128.65,555.3429144848332,0.4980694463238394
2006,924.05,1478.535608050105,0.8573064347279005
2007,263.9,1741.0262166333162,1.4093914167888932
2008,470.95,2209.6986209820434,2.277595651272765
2009,989.6,3195.6744970970976,3.62412388494561
2010,720.1,3910.118631850167,5.655865246930922
2011,1300.1,5201.566622282571,8.652009567595442
2012,966.85,6155.45533755314,12.961284729430929
2013,1389.056,7525.49099715957,19.020340393571054
2014,2129.8828333333236,9628.033778940293,27.340051552600837
2015,1484.683,11074.196422830926,38.520356109367555
2016,692.25,11713.172012646104,53.27441018482238
2017,396.8,12037.603377379968,72.36863526613527
2018,578.82,12519.897400632202,96.52597674776632
2019,335.15,12728.695333816915,126.35206681528814
2020,347.8493472176035,12914.269178794566,162.27550223995303
2021,913.6114440576498,13623.354542509125,204.52608034309063
2022,962.0762649644432,14332.439906223684,252.99090124988405
2023,1016.4203441116881,15041.525269938244,307.3349803971289
2024,1075.8845071606593,15750.610633652803,366.7991434461
2025,1139.392078000393,16459.695997367362,430.3067142858337
2026,1709.2653045495235,17675.864747782696,493.0965541341892
2027,1776.2930519359427,18892.03349819803,560.1243015206085
2028,1841.4355237399625,20108.202248613365,625.2667733246283
2029,1905.806610606598,21324.370999028702,689.6378601912602
2030,1962.7664044776175,22540.539749444037,746.5976540622833
2031,2046.6911157585919,23791.146578483887,796.084286718741
2032,2089.93143689929,25041.753407523738,839.3246078594395
2033,2098.094738738813,26292.36023656359,847.487909698962
2034,2128.666539752662,27542.967065603443,878.0597107128078
2035,2146.398496349475,28793.573894643294,895.7916673096245
2036,2061.620599919886,29962.38675485431,892.8077397088706
2037,2071.6948434571905,31131.199615065325,902.8819832461751
2038,2065.0424848910816,32300.012475276337,896.2296246800695
2039,2080.665293981637,33468.82533548735,911.8524337706216
2040,2091.25799190395,34637.63819569837,922.4451316929346
2041,882.2402351589081,34598.308876644434,921.5695542128416
2042,924.6764808713766,34558.9795575905,964.00579992531
2043,1009.1352450768459,34519.650238536575,1048.464564130772
2044,1109.6944451941938,34480.32091948264,1149.0237642481272
2045,1204.737703964727,34440.99160042871,1244.0670230186604
2046,1785.1835903335354,34878.90217851546,1347.2730122467815
2047,1882.7348359133332,35316.812756602216,1444.8242578265792
2048,1984.721773467789,35754.72333468896,1546.8111953810424
2049,2073.8693946019957,36192.63391277572,1635.9588165152418
2050,2148.566222225545,36630.54449086247,1710.6556441387909
