Year,Inflow (GW),Stock (GW),Outflow (GW)
1993,0.0003,0.0003,0.0
1994,0.0,0.0002999958354585636,4.1645414363581355e-09
1995,0.0006,0.0008999608646336566,3.497082490698319e-08
1996,0.0,0.0008998311403980177,1.2972423563884306e-07
1997,0.0006,0.0014994677886942737,3.633517037438548e-07
1998,0.0018,0.0032986354093852573,8.323793090167223e-07
1999,0.099,0.10229693900926409,1.6964001211548777e-06
2000,0.02838,0.13067232797413117,4.611035132910105e-06
2001,0.06074,0.19139462232661242,1.770564751874471e-05
2002,0.012060000000000001,0.20340079480281312,5.382752379930729e-05
2003,0.08757,0.29084016643985144,0.00013062836296166754
2004,0.13662,0.427190983931157,0.00026918250869443296
2005,0.12865000000000001,0.5553429144848332,0.0004980694463238394
2006,0.9240499999999999,1.478535608050105,0.0008573064347279004
2007,0.26389999999999997,1.7410262166333161,0.0014093914167888932
2008,0.47095,2.2096986209820435,0.0022775956512727648
2009,0.9896,3.1956744970970976,0.00362412388494561
2010,0.7201000000000001,3.9101186318501666,0.005655865246930922
2011,1.3000999999999998,5.201566622282571,0.008652009567595442
2012,0.96685,6.155455337553141,0.012961284729430929
2013,1.389056,7.52549099715957,0.019020340393571054
2014,2.1298828333333235,9.628033778940292,0.027340051552600837
2015,1.484683,11.074196422830926,0.038520356109367555
2016,0.69225,11.713172012646105,0.05327441018482238
2017,0.3968,12.037603377379968,0.07236863526613527
2018,0.57882,12.519897400632201,0.09652597674776632
2019,0.33515,12.728695333816916,0.12635206681528813
2020,0.43675468183981747,13.003174513416779,0.16227550223995302
2021,1.1819120068475857,13.980559205754775,0.20452731450959044
2022,1.2303896817268842,14.95794389809277,0.25300498938888905
2023,1.2847906486385392,15.935328590430768,0.30740595630054224
2024,1.3444143587427753,16.91271328276876,0.36702966640478196
2025,1.408269655201107,17.89009797510676,0.4308849628631099
2026,1.8296582726862323,19.225433108888296,0.49432313890469215
2027,1.897771453076526,20.560768242669837,0.5624363192949856
2028,1.964585963206151,21.89610337645138,0.6292508294246107
2029,2.031371493151784,23.231438510232916,0.6960363593702436
2030,2.091644180486987,24.566773644014457,0.7563090467054472
2031,2.1888005572393014,25.945419073401442,0.8101551278523186
2032,2.237576546001484,27.32406450278842,0.8589311166145044
2033,2.252550516981305,28.702709932175402,0.873905087594322
2034,2.2912612665238816,30.081355361562384,0.9126158371369023
2035,2.318452705218414,31.460000790949366,0.9398072758314311
2036,2.2416919449575254,32.754172665433664,0.9475200704732232
2037,2.2635301296196175,34.04834453991797,0.9693582551353156
2038,2.269447104278137,35.342516414402276,0.975275229793828
2039,2.298095206906788,36.63668828888658,1.0039233324224859
2040,2.3217479989389793,37.93086016337088,1.0275761244546777
2041,1.0118405978446057,37.90336948173572,1.0393312794797636
2042,1.0660102417394002,37.875878800100566,1.0935009233745578
2043,1.1608757517802115,37.8483881184654,1.1883664334153763
2044,1.2701737945361364,37.82089743683024,1.297664476171294
2045,1.3720804787975476,37.793406755195086,1.3995711604327052
2046,2.0034765982334006,38.28916091793636,1.5077224354921286
2047,2.1163941579562064,38.78491508067762,1.6206399952149417
2048,2.2173188820967784,39.2806692434189,1.7215647193555064
2049,2.3045927288426964,39.77642340616016,1.8088385661014315
2050,2.3771754451265257,40.272177568901434,1.8814212823852536
