Year,Inflow (MW),Stock (MW),Outflow (MW)
1993,0.3,0.3,0.0
1994,0.0,0.2999958354585636,4.164541436358135e-06
1995,0.6,0.8999608646336565,3.4970824906983195e-05
1996,0.0,0.8998311403980177,0.00012972423563884305
1997,0.6,1.4994677886942738,0.00036335170374385484
1998,1.8,3.2986354093852572,0.0008323793090167223
1999,99.0,102.2969390092641,0.0016964001211548778
2000,28.38,130.67232797413118,0.004611035132910105
2001,60.74,191.39462232661242,0.01770564751874471
2002,12.06,203.40079480281312,0.05382752379930729
2003,87.57,290.84016643985143,0.13062836296166755
2004,136.62,427.190983931157,0.26918250869443294
2005,128.65,555.3429144848332,0.4980694463238394
2006,924.05,1478.535608050105,0.8573064347279005
2007,263.9,1741.0262166333162,1.4093914167888932
2008,470.95,2209.6986209820434,2.277595651272765
2009,989.6,3195.6744970970976,3.62412388494561
2010,720.1,3910.118631850167,5.655865246930922
2011,1300.1,5201.566622282571,8.652009567595442
2012,966.85,6155.45533755314,12.961284729430929
2013,1389.056,7525.49099715957,19.020340393571054
2014,2129.8828333333236,9628.033778940293,27.340051552600837
2015,1484.683,11074.196422830926,38.520356109367555
2016,692.25,11713.172012646104,53.27441018482238
2017,396.8,12037.603377379968,72.36863526613527
2018,578.82,12519.897400632202,96.52597674776632
2019,335.15,12728.695333816915,126.35206681528814
2020,436.75468183981747,13003.17451341678,162.27550223995303
2021,1181.9120068475856,13980.559205754775,204.52731450959044
2022,1230.3896817268842,14957.94389809277,253.00498938888904
2023,1284.790648638539,15935.328590430767,307.40595630054224
2024,1344.4143587427752,16912.71328276876,367.02966640478195
2025,1408.2696552011068,17890.097975106757,430.8849628631099
2026,1829.6582726862323,19225.433108888297,494.32313890469214
2027,1897.7714530765259,20560.768242669837,562.4363192949857
2028,1964.585963206151,21896.103376451378,629.2508294246107
2029,2031.3714931517839,23231.438510232918,696.0363593702435
2030,2091.6441804869874,24566.773644014458,756.3090467054471
2031,2188.8005572393013,25945.41907340144,810.1551278523186
2032,2237.5765460014836,27324.06450278842,858.9311166145044
2033,2252.550516981305,28702.709932175403,873.9050875943219
2034,2291.2612665238817,30081.355361562382,912.6158371369023
2035,2318.452705218414,31460.000790949365,939.8072758314311
2036,2241.6919449575253,32754.172665433667,947.5200704732232
2037,2263.5301296196176,34048.34453991797,969.3582551353156
2038,2269.447104278137,35342.51641440228,975.275229793828
2039,2298.095206906788,36636.68828888658,1003.9233324224858
2040,2321.7479989389794,37930.86016337088,1027.5761244546777
2041,1011.8405978446058,37903.369481735725,1039.3312794797635
2042,1066.0102417394003,37875.87880010057,1093.500923374558
2043,1160.8757517802114,37848.3881184654,1188.3664334153764
2044,1270.1737945361365,37820.897436830244,1297.6644761712942
2045,1372.0804787975476,37793.40675519509,1399.5711604327053
2046,2003.4765982334006,38289.16091793636,1507.7224354921286
2047,2116.3941579562065,38784.91508067762,1620.6399952149418
2048,2217.3188820967785,39280.669243418895,1721.5647193555064
2049,2304.5927288426965,39776.42340616016,1808.8385661014315
2050,2377.1754451265256,40272.17756890143,1881.4212823852536
