,Closed-loop recycling,Open to high and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0
2027,2.764053071547397,0.0,0.0,0.0,0.0
2028,25.922957390013853,0.0,0.0,0.0,0.0
2029,106.01086056464922,0.0,0.0,0.0,0.0
2030,298.77209363072996,0.0,0.0,0.0,0.0
2031,679.0357324756827,0.0,0.0,0.0,0.0
2032,1341.1355728706744,0.0,0.0,0.0,0.0
2033,2400.4605073412217,0.0,0.0,0.0,0.0
2034,3988.7417177931343,0.0,0.0,0.0,0.0
2035,6247.298752046435,0.0,0.0,0.0,0.0
2036,9318.957859580702,0.0,0.0,0.0,0.0
2037,13337.972714467474,0.0,0.0,0.0,0.0
2038,18415.63759036948,0.0,0.0,0.0,0.0
2039,24626.47270787042,0.0,0.0,0.0,0.0
2040,31994.555829869554,0.0,0.0,0.0,0.0
2041,40479.80667323106,0.0,0.0,0.0,0.0
2042,49965.5159512186,0.0,0.0,0.0,0.0
2043,60250.08997253954,0.0,0.0,0.0,0.0
2044,71044.97092182883,0.0,0.0,0.0,0.0
2045,81980.11002119638,0.0,0.0,0.0,0.0
2046,92620.17745942254,0.0,0.0,0.0,0.0
2047,102492.20007673075,0.0,0.0,0.0,0.0
2048,111123.71057353602,0.0,0.0,0.0,0.0
2049,118088.3766930592,0.0,0.0,0.0,0.0
2050,123053.83897171581,0.0,0.0,0.0,0.0
