,Closed-loop recycling,Open to high and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.11101157291131675,0.0,0.0,0.0,0.0
2022,1.0448954666797734,0.0,0.0,0.0,0.0
2023,4.295041931464581,0.0,0.0,0.0,0.0
2024,12.165663695851421,0.0,0.0,0.0,0.0
2025,27.779774662997262,0.0,0.0,0.0,0.0
2026,55.06572890807298,0.0,0.0,0.0,0.0
2027,98.97354463472148,0.0,0.0,0.0,0.0
2028,166.53204855667855,0.0,0.0,0.0,0.0
2029,267.1114633586107,0.0,0.0,0.0,0.0
2030,412.27117838597604,0.0,0.0,0.0,0.0
2031,615.4911509899224,0.0,0.0,0.0,0.0
2032,892.2502115117192,0.0,0.0,0.0,0.0
2033,1261.430562568747,0.0,0.0,0.0,0.0
2034,1745.276582736332,0.0,0.0,0.0,0.0
2035,2368.6019163498704,0.0,0.0,0.0,0.0
2036,3157.782206685354,0.0,0.0,0.0,0.0
2037,4140.525573122712,0.0,0.0,0.0,0.0
2038,5348.743571404567,0.0,0.0,0.0,0.0
2039,6818.658800333906,0.0,0.0,0.0,0.0
2040,8589.642426679487,0.0,0.0,0.0,0.0
2041,10702.979069663821,0.0,0.0,0.0,0.0
2042,13201.966670554999,0.0,0.0,0.0,0.0
2043,16136.023825764189,0.0,0.0,0.0,0.0
2044,19561.010211163077,0.0,0.0,0.0,0.0
2045,23537.64787029592,0.0,0.0,0.0,0.0
2046,28129.440234065827,0.0,0.0,0.0,0.0
2047,33400.333944128084,0.0,0.0,0.0,0.0
2048,39412.73143385947,0.0,0.0,0.0,0.0
2049,46224.32784578392,0.0,0.0,0.0,0.0
2050,53884.271981914724,0.0,0.0,0.0,0.0
