,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0
2026,3.178206501921884e-06,2.7022322424673924e-06,9.141127272194372e-07,0.0,7.718501504667432e-07
2027,3.236071112114465e-06,2.751430938419228e-06,9.30755691293875e-07,0.0,7.859029843706559e-07
2028,3.3110300615631306e-06,2.8151638928195095e-06,9.523153129448243e-07,0.0,8.041073006653316e-07
2029,3.44093782700171e-06,2.9256164238626446e-06,9.89679260718587e-07,0.0,8.35656329414701e-07
2030,3.851520060481488e-06,3.274709079995094e-06,1.1077705316813424e-06,0.0,9.353691575455044e-07
2031,5.445193592192438e-06,4.629711028028381e-06,1.5661413950877298e-06,0.0,1.3224041581038779e-06
2032,5.338273615049681e-06,4.538803590319622e-06,1.5353891730904796e-06,0.0,1.2964378779406367e-06
2033,6.181688905366493e-06,5.2559074002532735e-06,1.7779714756387439e-06,0.0,1.5012673055890053e-06
2034,7.662969228446168e-06,6.515348360662206e-06,2.204015911419755e-06,0.0,1.8610068126226406e-06
2035,1.0257809844029106e-05,8.72158070310189e-06,2.950341497996943e-06,0.0,2.491182390692783e-06
2036,1.2664530556855185e-05,1.0767866337745207e-05,3.6425602173050154e-06,0.0,3.0756717066648303e-06
2037,1.7643371280443534e-05,1.5001066391062826e-05,5.074569644470427e-06,0.0,4.2848187395362866e-06
2038,2.4108932426389582e-05,2.049833278443743e-05,6.934188183590147e-06,0.0,5.855026446408899e-06
2039,3.206848885484446e-05,2.7265850881107042e-05,9.223508223012407e-06,0.0,7.788061579033653e-06
2040,4.145955373492199e-05,3.525049199700153e-05,1.1924557359948992e-05,0.0,1.006874876419534e-05
2041,5.248293992452117e-05,4.462299487392028e-05,1.5095093197338473e-05,0.0,1.2745856838812285e-05
2042,6.485305837800261e-05,5.514054082567795e-05,1.865297488586361e-05,0.0,1.5750028463229207e-05
2043,7.791379546139938e-05,6.624527704587078e-05,2.240949164699297e-05,0.0,1.892192175491128e-05
2044,9.182630148607232e-05,7.807421966827722e-05,2.641099337980366e-05,0.0,2.2300673218046136e-05
2045,0.00010588976613440421,9.003151306332322e-05,3.0455913688181025e-05,0.0,2.571608606121245e-05
2046,0.00011959953204604563,0.00010168807831819737,3.439910350276741e-05,0.0,2.9045600639753934e-05
2047,0.0001323320314389833,0.00011251373434966891,3.8061212851974246e-05,0.0,3.2137779063753085e-05
2048,0.00014345586781260722,0.00012197164379971913,4.126064007562607e-05,0.0,3.483928218306175e-05
2049,0.00015239137567204643,0.00012956895298211376,4.38306623361505e-05,0.0,3.70093340917827e-05
2050,0.00015865295803029638,0.00013489278883956868,4.563161269061858e-05,0.0,3.853000409307198e-05
