,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,4.645379719924996e-06,3.9843064520895155e-06,0.0,0.0,3.037363663027882e-07
2021,5.038470236827631e-06,4.321457164663698e-06,0.0,0.0,3.294384385618066e-07
2022,5.315073264649678e-06,4.5586974539110695e-06,0.0,0.0,3.4752402115017127e-07
2023,5.699945594401164e-06,4.888799490582537e-06,0.0,0.0,3.7268875040315306e-07
2024,6.304743714152079e-06,5.407530185599666e-06,0.0,0.0,4.122332428484052e-07
2025,7.281667375799174e-06,6.245430095396982e-06,0.0,0.0,4.761090207253306e-07
2026,2.3263858167934613e-05,1.995323219788238e-05,0.0,0.0,1.521098418672648e-06
2027,2.6058289938175906e-05,2.2349994831589332e-05,0.0,0.0,1.7038112651884248e-06
2028,2.9976674128548264e-05,2.5710762810254852e-05,0.0,0.0,1.960013308405079e-06
2029,3.54838373893181e-05,3.043421437622283e-05,0.0,0.0,2.320097060070799e-06
2030,4.4222749757195494e-05,3.792951229174844e-05,0.0,0.0,2.891487484124321e-06
2031,8.376029720649322e-05,7.184056260403071e-05,0.0,0.0,5.476634817347634e-06
2032,9.839539404453997e-05,8.439297258435542e-05,0.0,0.0,6.433544995219921e-06
2033,0.0001175627500017969,0.00010083266634769503,0.0,0.0,7.686795192425183e-06
2034,0.00014242008719346166,0.00012215261324669978,0.0,0.0,9.312082624187879e-06
2035,0.00017427074141813036,0.00014947067437016563,0.0,0.0,1.1394625400416218e-05
2036,0.00025835071782454906,0.00022158542336490165,0.0,0.0,1.6892162319297438e-05
2037,0.00030868727448479067,0.0002647587008081089,0.0,0.0,2.0183398716313238e-05
2038,0.00037043641388829037,0.0003177204626811105,0.0,0.0,2.422084244654206e-05
2039,0.0004453489035811894,0.0003819723288407893,0.0,0.0,2.9118966772616228e-05
2040,0.0005417985775022684,0.0004646964722423301,0.0,0.0,3.542529160591755e-05
2041,0.000725226631834227,0.0006220213034578176,0.0,0.0,4.7418664389161e-05
2042,0.0008506996468324976,0.0007296385432447958,0.0,0.0,5.5622669215971e-05
2043,0.0009967359078724136,0.0008548927209828778,0.0,0.0,6.517119397627321e-05
2044,0.001165532774796026,0.0009996684953058224,0.0,0.0,7.620791219820171e-05
2045,0.0013594100493421683,0.001165955542320398,0.0,0.0,8.88845032262187e-05
2046,0.0015995102021672271,0.0013718875964741984,0.0,0.0,0.00010458335937247255
2047,0.0018505629277724915,0.0015872135880510214,0.0,0.0,0.00012099834527743216
2048,0.0021335587223080426,0.0018299369041334362,0.0,0.0,0.0001395019164586028
2049,0.002450506456774512,0.002101780537925831,0.0,0.0,0.0001602254221737181
2050,0.002803100901287336,0.0024041980807195224,0.0,0.0,0.0001832796743149412
