,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,2.6249663034880372e-06
2027,0.0,0.0,0.0,0.0,2.8128937151053844e-06
2028,0.0,0.0,0.0,0.0,4.049697784111575e-06
2029,0.0,0.0,0.0,0.0,8.22443940000825e-06
2030,0.0,0.0,0.0,0.0,1.8401172678956785e-05
2031,0.0,0.0,0.0,0.0,3.909238892707692e-05
2032,0.0,0.0,0.0,0.0,7.277821888150286e-05
2033,0.0,0.0,0.0,0.0,0.0001276588207768849
2034,0.0,0.0,0.0,0.0,0.00021034330139796286
2035,0.0,0.0,0.0,0.0,0.0003286415922674838
2036,0.0,0.0,0.0,0.0,0.0004890039922537312
2037,0.0,0.0,0.0,0.0,0.0007008782037975172
2038,0.0,0.0,0.0,0.0,0.0009693194794228024
2039,0.0,0.0,0.0,0.0,0.0012983958297493234
2040,0.0,0.0,0.0,0.0,0.0016895146175292827
2041,0.0,0.0,0.0,0.0,0.0021409327218850967
2042,0.0,0.0,0.0,0.0,0.002646540914015707
2043,0.0,0.0,0.0,0.0,0.0031954597735111283
2044,0.0,0.0,0.0,0.0,0.0037729188412010404
2045,0.0,0.0,0.0,0.0,0.004359078104898542
2046,0.0,0.0,0.0,0.0,0.004930729627049651
2047,0.0,0.0,0.0,0.0,0.005462428385235632
2048,0.0,0.0,0.0,0.0,0.005928541965544595
2049,0.0,0.0,0.0,0.0,0.006305664740139864
2050,0.0,0.0,0.0,0.0,0.006575160848014898
