,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,2.5142633574141425e-07,2.6818809145750857e-07,0.0,0.0,7.90197055187302e-08
2021,2.7263399189811877e-07,2.908095913579934e-07,0.0,0.0,8.568496888226591e-08
2022,2.870319369780687e-07,3.061673994432733e-07,0.0,0.0,9.021003733596446e-08
2023,3.0586296683026913e-07,3.2625383128562044e-07,0.0,0.0,9.612836100379889e-08
2024,3.337436837522867e-07,3.559932626691058e-07,0.0,0.0,1.0489087203643296e-07
2025,3.7697512036837295e-07,4.021067950595978e-07,0.0,0.0,1.1847789497291722e-07
2026,1.2251224202060015e-06,1.306797248219735e-06,0.0,0.0,3.8503847492188624e-07
2027,1.3491886092809888e-06,1.4391345165663882e-06,0.0,0.0,4.2403070577402515e-07
2028,1.5193862183339711e-06,1.6206786328895692e-06,0.0,0.0,4.775213829049624e-07
2029,1.7549946929067991e-06,1.871994339100586e-06,0.0,0.0,5.515697606278512e-07
2030,2.1375303268734222e-06,2.2800323486649838e-06,0.0,0.0,6.717952455887899e-07
2031,4.150617326693111e-06,4.427325148472651e-06,0.0,0.0,1.3044797312464066e-06
2032,4.769785581752892e-06,5.087771287203085e-06,0.0,0.0,1.4990754685509089e-06
2033,5.575677156262436e-06,5.947388966679932e-06,0.0,0.0,1.75235567768248e-06
2034,6.616188624166901e-06,7.057267865778028e-06,0.0,0.0,2.079373567595312e-06
2035,7.945141844503612e-06,8.47481796747052e-06,0.0,0.0,2.4970445797011353e-06
2036,1.1992596827281582e-05,1.2792103282433689e-05,0.0,0.0,3.7691018600027834e-06
2037,1.4086810712939842e-05,1.5025931427135833e-05,0.0,0.0,4.427283366923951e-06
2038,1.6650409254704268e-05,1.7760436538351223e-05,0.0,0.0,5.2329857657641995e-06
2039,1.9755144959217694e-05,2.1072154623165547e-05,0.0,0.0,6.208759844325562e-06
2040,2.3829342025011806e-05,2.5417964826679258e-05,0.0,0.0,7.489221779289425e-06
2041,3.239154065848927e-05,3.455097670238856e-05,0.0,0.0,1.0180198492668056e-05
2042,3.757377321525468e-05,4.0078691429605e-05,0.0,0.0,1.1808900153365759e-05
2043,4.359684055595397e-05,4.6503296593017566e-05,0.0,0.0,1.370186417472839e-05
2044,5.0548402432781446e-05,5.391829592830021e-05,0.0,0.0,1.5886640764588453e-05
2045,5.852040268393988e-05,6.24217628628692e-05,0.0,0.0,1.8392126557809676e-05
2046,6.862218902782096e-05,7.31970016296757e-05,0.0,0.0,2.156697369445802e-05
2047,7.891069114311731e-05,8.41714038859918e-05,0.0,0.0,2.480050293069401e-05
2048,9.048802189428774e-05,9.652055668724025e-05,0.0,0.0,2.8439092595347578e-05
2049,0.00010343145123030035,0.00011032688131232039,0.0,0.0,3.250702752952297e-05
2050,0.00011780524433846518,0.00012565892729436286,0.0,0.0,3.7024505363517625e-05
