,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,5.636218356241847e-15,0.0,0.0,0.0,5.579856172679429e-13
2021,3.9234364398331664e-14,0.0,0.0,0.0,3.884202075434835e-12
2022,3.187897659392968e-13,0.0,0.0,0.0,3.1560186827990386e-11
2023,1.2939012822556841e-12,0.0,0.0,0.0,1.2809622694331272e-10
2024,3.660036680309126e-12,0.0,0.0,0.0,3.6234363135060344e-10
2025,8.361240719672421e-12,0.0,0.0,0.0,8.277628312475696e-10
2026,1.6603679504556816e-11,0.0,0.0,0.0,1.6437642709511246e-09
2027,2.9853684618298385e-11,0.0,0.0,0.0,2.95551477721154e-09
2028,5.0270113320862725e-11,0.0,0.0,0.0,4.976741218765409e-09
2029,8.071871409624855e-11,0.0,0.0,0.0,7.991152695528608e-09
2030,1.2474363884458495e-10,0.0,0.0,0.0,1.234962024561391e-08
2031,1.8651648572606773e-10,0.0,0.0,0.0,1.84651320868807e-08
2032,2.707123492027886e-10,0.0,0.0,0.0,2.6800522571076074e-08
2033,3.831381397824535e-10,0.0,0.0,0.0,3.7930675838462896e-08
2034,5.305879648977882e-10,0.0,0.0,0.0,5.252820852488103e-08
2035,7.206331528242333e-10,0.0,0.0,0.0,7.13426821295991e-08
2036,9.613639041695545e-10,0.0,0.0,0.0,9.51750265127859e-08
2037,1.2610195660285373e-09,0.0,0.0,0.0,1.248409370368252e-07
2038,1.628751734883645e-09,0.0,0.0,0.0,1.6124642175348086e-07
2039,2.074298863291679e-09,0.0,0.0,0.0,2.0535558746587623e-07
2040,2.6076476191619026e-09,0.0,0.0,0.0,2.5815711429702835e-07
2041,3.23870590463566e-09,0.0,0.0,0.0,3.206318845589304e-07
2042,3.976867585525197e-09,0.0,0.0,0.0,3.9370989096699454e-07
2043,4.832490514248444e-09,0.0,0.0,0.0,4.78416560910596e-07
2044,5.81662034781287e-09,0.0,0.0,0.0,5.758454144334741e-07
2045,6.940693161334554e-09,0.0,0.0,0.0,6.871286229721208e-07
2046,8.2161009184095e-09,0.0,0.0,0.0,8.133939909225405e-07
2047,9.653667640970682e-09,0.0,0.0,0.0,9.557130964560975e-07
2048,1.1263541854293039e-08,0.0,0.0,0.0,1.115090643575011e-06
2049,1.3054628764787776e-08,0.0,0.0,0.0,1.2924082477139898e-06
2050,1.5034015632210627e-08,0.0,0.0,0.0,1.488367547588852e-06
