,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0
2026,0.0,6.299861211510532e-07,0.0,1.0170179534277093e-07,2.0933619541387016e-06
2027,0.0,6.421323637700897e-07,0.0,1.0366262374763779e-07,2.1337223388055448e-06
2028,0.0,6.626607223941435e-07,0.0,1.0697661886183483e-07,2.2019354049061e-06
2029,0.0,7.080403498099096e-07,0.0,1.143024779962186e-07,2.352726005422166e-06
2030,0.0,8.367003979339791e-07,0.0,1.3507270998037333e-07,2.780246613762684e-06
2031,0.0,1.2459996800893435e-06,0.0,2.011479304180106e-07,4.140294901104051e-06
2032,0.0,1.3875263580890606e-06,0.0,2.2399528650765106e-07,4.610569647282484e-06
2033,0.0,1.8150490382639789e-06,0.0,2.930124007959787e-07,6.031171916383894e-06
2034,0.0,2.498950794839035e-06,0.0,4.0341806553455277e-07,8.30368851558621e-06
2035,0.0,3.568210337051945e-06,0.0,5.760339557572647e-07,1.1856698922670363e-05
2036,0.0,4.799919491101654e-06,0.0,7.748748954244824e-07,1.594950826415393e-05
2037,0.0,6.774219874199974e-06,0.0,1.093596033503135e-06,2.250985168960619e-05
2038,0.0,9.30328063715021e-06,0.0,1.5018749010646082e-06,3.091359171357985e-05
2039,0.0,1.2406719177242032e-05,0.0,2.002878432200507e-06,4.122591439612711e-05
2040,0.0,1.6077816487144522e-05,0.0,2.5955219441130174e-06,5.342449334965959e-05
2041,0.0,2.0346179114314758e-05,0.0,3.2845849691270463e-06,6.760770728119836e-05
2042,0.0,2.5125991762079387e-05,0.0,4.056213916748242e-06,8.349040311973464e-05
2043,0.0,3.0236934594402848e-05,0.0,4.881298858289249e-06,0.00010047340149978703
2044,0.0,3.563902293258437e-05,0.0,5.753384868040526e-06,0.00011842383853383414
2045,0.0,4.110111342366323e-05,0.0,6.635157323999445e-06,0.00013657365491898858
2046,0.0,4.641459219126361e-05,0.0,7.492938649710718e-06,0.00015422965387321228
2047,0.0,5.1337713358038886e-05,0.0,8.2877026048852e-06,0.00017058854528388705
2048,0.0,5.562699916206403e-05,0.0,8.980143362485673e-06,0.0001848412842111634
2049,0.0,5.906028650506543e-05,0.0,9.534396027723568e-06,0.0001962496515706434
2050,0.0,6.145693060862487e-05,0.0,9.921298214845273e-06,0.00020421338825556514
