,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,1.9489382241727268e-08,0.0,3.1462679852115772e-09,6.476068269560495e-08
2021,0.0,2.116997757808929e-08,0.0,3.41757485565567e-09,7.03450824455792e-08
2022,0.0,2.25952425104516e-08,0.0,3.647662468054967e-09,7.508105246746472e-08
2023,0.0,2.5134243206909244e-08,0.0,4.05754598855934e-09,8.351782159784641e-08
2024,0.0,2.991483851093814e-08,0.0,4.8293012842770095e-09,9.940311810136843e-08
2025,0.0,3.8470672752832285e-08,0.0,6.210512193282344e-09,1.2783304264506154e-07
2026,0.0,1.1332113868191369e-07,0.0,1.8293995482282035e-08,3.7655140701030515e-07
2027,0.0,1.3760728719826686e-07,0.0,2.221462932348703e-08,4.572511202417747e-07
2028,0.0,1.734038177196477e-07,0.0,2.799344142559335e-08,5.761983360101298e-07
2029,0.0,2.2537804990508698e-07,0.0,3.638390043310821e-08,7.489019505814773e-07
2030,0.0,3.037723968191941e-07,0.0,4.903949006946632e-08,1.0093961705965148e-06
2031,0.0,5.281725895393154e-07,0.0,8.526553014984465e-08,1.755048828917635e-06
2032,0.0,6.693903308849801e-07,0.0,1.0806301305766496e-07,2.22429701877027e-06
2033,0.0,8.563526338635771e-07,0.0,1.382452682470349e-07,2.845548438084801e-06
2034,0.0,1.1003132378481099e-06,0.0,1.7762904288130928e-07,3.6561977993069486e-06
2035,0.0,1.4138539262415607e-06,0.0,2.2824547688204569e-07,4.698052732488774e-06
2036,0.0,1.99427711771605e-06,0.0,3.2194608178375696e-07,6.626723516715663e-06
2037,0.0,2.4887313763889007e-06,0.0,4.0176829394619026e-07,8.26973071705908e-06
2038,0.0,3.0951395099689806e-06,0.0,4.996637773940956e-07,1.0284746084695134e-05
2039,0.0,3.829914473967842e-06,0.0,6.182821572324768e-07,1.2726307736368479e-05
2040,0.0,4.737392769930049e-06,0.0,7.647808955940887e-07,1.5741740100978323e-05
2041,0.0,6.101284984167534e-06,0.0,9.849608046189742e-07,2.027377656174055e-05
2042,0.0,7.322406323241248e-06,0.0,1.182092500612937e-06,2.4331403970949616e-05
2043,0.0,8.739456767224879e-06,0.0,1.4108540072650034e-06,2.9040078316204646e-05
2044,0.0,1.0371648022460488e-05,0.0,1.674346765957747e-06,3.446363759929696e-05
2045,0.0,1.2238987609471046e-05,0.0,1.975800690318196e-06,4.066856420904953e-05
2046,0.0,1.4440299787229474e-05,0.0,2.3311694723778525e-06,4.798323830644412e-05
2047,0.0,1.6837258082789624e-05,0.0,2.718122381078146e-06,5.594801901052516e-05
2048,0.0,1.9526777512203386e-05,0.0,3.1523048898624304e-06,6.488494231633501e-05
2049,0.0,2.252498102873632e-05,0.0,3.636319807329631e-06,7.484758270086823e-05
2050,0.0,2.5844962189225643e-05,0.0,4.172280891534185e-06,8.58794483507453e-05
