,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,4.5563360797271404e-14,0.0,0.0,0.0,4.5107727189298685e-12
2021,3.8489505081612634e-13,0.0,0.0,0.0,3.8104610030796504e-11
2022,3.2157528106770623e-12,0.0,0.0,0.0,3.1835952825702917e-10
2023,1.3091449034399839e-11,0.0,0.0,0.0,1.2960534544055837e-09
2024,3.7055919029706346e-11,0.0,0.0,0.0,3.668535983940928e-09
2025,8.467076939762488e-11,0.0,0.0,0.0,8.38240617036486e-09
2026,1.681166410344143e-10,0.0,0.0,0.0,1.6643547462407013e-08
2027,3.023155684271841e-10,0.0,0.0,0.0,2.992924127429122e-08
2028,5.090985521339244e-10,0.0,0.0,0.0,5.0400756661258516e-08
2029,8.174908631464974e-10,0.0,0.0,0.0,8.093159545150324e-08
2030,1.2633888653465524e-09,0.0,0.0,0.0,1.250754976693087e-07
2031,1.8889751593251064e-09,0.0,0.0,0.0,1.8700854077318552e-07
2032,2.74173706713459e-09,0.0,0.0,0.0,2.7143196964632445e-07
2033,3.880421420850169e-09,0.0,0.0,0.0,3.8416172066416665e-07
2034,5.373841196944139e-09,0.0,0.0,0.0,5.320102784974697e-07
2035,7.298681319138846e-09,0.0,0.0,0.0,7.225694505947458e-07
2036,9.736778070169985e-09,0.0,0.0,0.0,9.639410289468282e-07
2037,1.2771789619320533e-08,0.0,0.0,0.0,1.2644071723127327e-06
2038,1.6496303121042406e-08,0.0,0.0,0.0,1.6331340089831984e-06
2039,2.100895283211438e-08,0.0,0.0,0.0,2.0798863303793237e-06
2040,2.64108870210104e-08,0.0,0.0,0.0,2.6146778150800296e-06
2041,3.2802284723726393e-08,0.0,0.0,0.0,3.247426187648912e-06
2042,4.027863288653677e-08,0.0,0.0,0.0,3.9875846557671405e-06
2043,4.894466804369551e-08,0.0,0.0,0.0,4.8455221363258555e-06
2044,5.891226426205641e-08,0.0,0.0,0.0,5.832314161943585e-06
2045,7.029724990295033e-08,0.0,0.0,0.0,6.9594277403920814e-06
2046,8.321496452166121e-08,0.0,0.0,0.0,8.23828148764446e-06
2047,9.777512149009086e-08,0.0,0.0,0.0,9.679737027518994e-06
2048,1.1408046642107162e-07,0.0,0.0,0.0,1.129396617568609e-05
2049,1.3222119421699874e-07,0.0,0.0,0.0,1.3089898227482874e-05
2050,1.5226908701237263e-07,0.0,0.0,0.0,1.507463961422489e-05
