,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,1.9700585268899467e-06,3.0167927229879165e-05
2027,0.0,0.0,0.0,2.0051002540117546e-06,3.070452868582111e-05
2028,0.0,0.0,0.0,2.04463437724638e-06,3.130992316347759e-05
2029,0.0,0.0,0.0,2.101162261643739e-06,3.217554673743846e-05
2030,0.0,0.0,0.0,2.297741388029116e-06,3.518580490934635e-05
2031,0.0,0.0,0.0,3.171333842349839e-06,4.856331285177478e-05
2032,0.0,0.0,0.0,2.9060572719495884e-06,4.4501076038810414e-05
2033,0.0,0.0,0.0,3.1104251232920587e-06,4.763060462046093e-05
2034,0.0,0.0,0.0,3.551228795209855e-06,5.4380725449649115e-05
2035,0.0,0.0,0.0,4.480894696717206e-06,6.861689807191585e-05
2036,0.0,0.0,0.0,5.049654165141867e-06,7.732643335756394e-05
2037,0.0,0.0,0.0,6.92801317645952e-06,0.00010609014630901389
2038,0.0,0.0,0.0,9.409786743131948e-06,0.00014409407529817223
2039,0.0,0.0,0.0,1.2477242661695626e-05,0.00019106668330397524
2040,0.0,0.0,0.0,1.6084663074810032e-05,0.0002463078830069196
2041,0.0,0.0,0.0,2.0369051098647097e-05,0.0003119156324029369
2042,0.0,0.0,0.0,2.5189067309826325e-05,0.0003857255706971284
2043,0.0,0.0,0.0,3.0199526541797983e-05,0.00046245180366697824
2044,0.0,0.0,0.0,3.558827297219593e-05,0.0005449708293474767
2045,0.0,0.0,0.0,4.103375558307583e-05,0.0006283586682843929
2046,0.0,0.0,0.0,4.635600481052678e-05,0.0007098594080855056
2047,0.0,0.0,0.0,5.131305778470646e-05,0.0007857678196167039
2048,0.0,0.0,0.0,5.5658333179270314e-05,0.0008523079503324802
2049,0.0,0.0,0.0,5.916379916711169e-05,0.0009059879001332421
2050,0.0,0.0,0.0,6.163176820738518e-05,0.0009437804374595834
