,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,7.116094727923611e-08,1.0897027930019403e-06
2021,0.0,0.0,0.0,7.715349630360553e-08,1.1814679768384096e-06
2022,0.0,0.0,0.0,8.114558855290973e-08,1.242599738574492e-06
2023,0.0,0.0,0.0,8.618549826995062e-08,1.3197769531158671e-06
2024,0.0,0.0,0.0,9.337240017169566e-08,1.429831517800501e-06
2025,0.0,0.0,0.0,1.0420742086776268e-07,1.5957505051968811e-06
2026,0.0,0.0,0.0,3.4180420150259044e-07,5.234120782226454e-06
2027,0.0,0.0,0.0,3.729610353488994e-07,5.711232037226947e-06
2028,0.0,0.0,0.0,4.150232745141167e-07,6.355340094394801e-06
2029,0.0,0.0,0.0,4.725781422856561e-07,7.236690084234018e-06
2030,0.0,0.0,0.0,5.676168060360212e-07,8.692037452300376e-06
2031,0.0,0.0,0.0,1.118785061370444e-06,1.713219473260091e-05
2032,0.0,0.0,0.0,1.2686218877469606e-06,1.9426678075498728e-05
2033,0.0,0.0,0.0,1.4627269820919848e-06,2.2399050866064372e-05
2034,0.0,0.0,0.0,1.7125755170664768e-06,2.62250348755351e-05
2035,0.0,0.0,0.0,2.0310779147519887e-06,3.110233015624293e-05
2036,0.0,0.0,0.0,3.1035383267725486e-06,4.7525145633627916e-05
2037,0.0,0.0,0.0,3.6051524270951706e-06,5.5206469548356224e-05
2038,0.0,0.0,0.0,4.2187819470596675e-06,6.460310952210294e-05
2039,0.0,0.0,0.0,4.961723336825957e-06,7.597992979247188e-05
2040,0.0,0.0,0.0,5.952103810403796e-06,9.114583763174621e-05
2041,0.0,0.0,0.0,8.182735200096273e-06,0.00012530397279494895
2042,0.0,0.0,0.0,9.423821374310036e-06,0.0001443089906046465
2043,0.0,0.0,0.0,1.0866840816686623e-05,0.0001664062557034867
2044,0.0,0.0,0.0,1.2533290476505146e-05,0.00019192495546974518
2045,0.0,0.0,0.0,1.4445807963733676e-05,0.00022121174446259058
2046,0.0,0.0,0.0,1.6915051555245993e-05,0.00025902379926442764
2047,0.0,0.0,0.0,1.9387964445408114e-05,0.0002968920428206297
2048,0.0,0.0,0.0,2.2173628445367475e-05,0.0003395495109570383
2049,0.0,0.0,0.0,2.5291478818467527e-05,0.000387293820014608
2050,0.0,0.0,0.0,2.875785421273168e-05,0.00044037516720214076
