,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0
2026,5.253339313182532e-06,5.786178014948193e-07,9.06576270046357e-07,0.0,7.654865856351689e-07
2027,5.349015237518479e-06,5.891558211609645e-07,9.230872009889033e-07,0.0,7.794279346098355e-07
2028,5.4731685105975986e-06,6.028304173815359e-07,9.445125086859856e-07,0.0,7.9751884011565e-07
2029,5.688767766773692e-06,6.265771354546458e-07,9.817187803232316e-07,0.0,8.289347317298809e-07
2030,6.36934646449267e-06,7.015380177319789e-07,1.0991672184438782e-06,0.0,9.281047705403604e-07
2031,9.0076586984117e-06,9.921292652107752e-07,1.554464529668762e-06,0.0,1.3125445531971334e-06
2032,8.838204112874442e-06,9.734650530037429e-07,1.5252215097646181e-06,0.0,1.2878525993045616e-06
2033,1.0243902670997611e-05,1.1282927084770236e-06,1.7678049180807308e-06,0.0,1.4926829606310806e-06
2034,1.2709733622156255e-05,1.399886374668926e-06,2.193336887937823e-06,0.0,1.8519897563713402e-06
2035,1.702352239923406e-05,1.8750193956870674e-06,2.9377735797535354e-06,0.0,2.4805704067455343e-06
2036,2.10353390221032e-05,2.316892340863083e-06,3.630098505528667e-06,0.0,3.0651494003636094e-06
2037,2.93090009466175e-05,3.2281771042631585e-06,5.057896163359134e-06,0.0,4.270740137935693e-06
2038,4.005171668045571e-05,4.411410508661625e-06,6.911781964284357e-06,0.0,5.836107287723546e-06
2039,5.327633852932491e-05,5.868008143729934e-06,9.193973849060642e-06,0.0,7.763123614273059e-06
2040,6.887978775833835e-05,7.586616623096989e-06,1.1886683373153251e-05,0.0,1.0036769073357877e-05
2041,8.719365069820601e-05,9.603757812616698e-06,1.5047132863347553e-05,0.0,1.270536053031002e-05
2042,0.00010774453765140531,1.1867291218461936e-05,1.859362878327109e-05,0.0,1.569991834349049e-05
2043,0.0001294457632351511,1.4257526207757368e-05,2.2338640284008937e-05,0.0,1.8862096928550588e-05
2044,0.00015256043930215934,1.6803442671709278e-05,2.632757295385836e-05,0.0,2.223023544117179e-05
2045,0.00017592610389927189,1.937700372947696e-05,3.0359819072902922e-05,0.0,2.5634946568179618e-05
2046,0.00019870375340268992,2.1885799124782007e-05,3.429059058720706e-05,0.0,2.895397549582053e-05
2047,0.00021985740945377506,2.4215723241265818e-05,3.7941107231451476e-05,0.0,3.2036365377550084e-05
2048,0.000238338138284939,2.6251243516812587e-05,4.1130353006886615e-05,0.0,3.472927157866254e-05
2049,0.00025318299923733227,2.7886298915997616e-05,4.369215186838535e-05,0.0,3.689237988886842e-05
2050,0.0002635855553992881,2.903206617326447e-05,4.5487335846048576e-05,0.0,3.840818092961055e-05
