,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,3.1538410174112758e-09,0.0,0.0
2022,0.0,0.0,2.974148207354318e-08,0.0,0.0
2023,0.0,0.0,1.2254829629805894e-07,0.0,0.0
2024,0.0,0.0,3.477846575570568e-07,0.0,0.0
2025,0.0,0.0,7.953260594722657e-07,0.0,0.0
2026,0.0,0.0,1.5783345072594133e-06,0.0,0.0
2027,0.0,0.0,2.8396930581356935e-06,0.0,0.0
2028,0.0,0.0,4.783317295075031e-06,0.0,0.0
2029,0.0,0.0,7.682033628690644e-06,0.0,0.0
2030,0.0,0.0,1.1873253860435672e-05,0.0,0.0
2031,0.0,0.0,1.775100672742251e-05,0.0,0.0
2032,0.0,0.0,2.576736249961103e-05,0.0,0.0
2033,0.0,0.0,3.647377183368912e-05,0.0,0.0
2034,0.0,0.0,5.052011644430855e-05,0.0,0.0
2035,0.0,0.0,6.86316130363263e-05,0.0,0.0
2036,0.0,0.0,9.15793831011901e-05,0.0,0.0
2037,0.0,0.0,0.00012016469948203558,0.0,0.0
2038,0.0,0.0,0.00015526320799836158,0.0,0.0
2039,0.0,0.0,0.00019781327182870153,0.0,0.0
2040,0.0,0.0,0.0002487786865608025,0.0,0.0
2041,0.0,0.0,0.00030910963166512793,0.0,0.0
2042,0.0,0.0,0.0003797351435896675,0.0,0.0
2043,0.0,0.0,0.0004616582802300968,0.0,0.0
2044,0.0,0.0,0.0005559618103151249,0.0,0.0
2045,0.0,0.0,0.0006637710760430548,0.0,0.0
2046,0.0,0.0,0.0007862095440511387,0.0,0.0
2047,0.0,0.0,0.0009243555473947439,0.0,0.0
2048,0.0,0.0,0.0010792193288540013,0.0,0.0
2049,0.0,0.0,0.00125169531588112,0.0,0.0
2050,0.0,0.0,0.0014425036561203698,0.0,0.0
