,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0
2026,1.027715397126401e-05,6.554109513749499e-06,0.0,0.0,2.5595930645412247e-06
2027,1.0460079908836948e-05,6.670767941862052e-06,0.0,0.0,2.6051519772952395e-06
2028,1.0667361667359284e-05,6.802958950127242e-06,0.0,0.0,2.656776868097029e-06
2029,1.0965867377392517e-05,6.993326742563529e-06,0.0,0.0,2.7311216864449287e-06
2030,1.200014553091892e-05,7.652922998963385e-06,0.0,0.0,2.988715490719429e-06
2031,1.6574567885893964e-05,1.0570196123456902e-05,0.0,0.0,4.128005586675478e-06
2032,1.522011341865895e-05,9.706411953786272e-06,0.0,0.0,3.7906697570999654e-06
2033,1.633216889596889e-05,1.0415609597806573e-05,0.0,0.0,4.06763451748659e-06
2034,1.8698639150139633e-05,1.192479251461735e-05,0.0,0.0,4.657019561921569e-06
2035,2.3640859034757316e-05,1.5076623308958437e-05,0.0,0.0,5.887912061486728e-06
2036,2.673006295443893e-05,1.704671939358558e-05,0.0,0.0,6.657298698086678e-06
2037,3.668438508457459e-05,2.3394947469030583e-05,0.0,0.0,9.1364883606865e-06
2038,4.982233790368668e-05,3.1773490964992635e-05,0.0,0.0,1.2408582270352153e-05
2039,6.60522825274973e-05,4.2123908479800167e-05,0.0,0.0,1.645075715779178e-05
2040,8.513452418846706e-05,5.429333806736202e-05,0.0,0.0,2.1203315458259724e-05
2041,0.00010777994538598758,6.873513498200716e-05,0.0,0.0,2.6843307152736527e-05
2042,0.00013324445482779012,8.4974765531685e-05,0.0,0.0,3.318541139107226e-05
2043,0.0001597173087518099,0.0001018574535058712,0.0,0.0,3.977865048158284e-05
2044,0.00018816532112055605,0.00011999977082782629,0.0,0.0,4.6863815826251696e-05
2045,0.00021689527012359124,0.00013832188924862987,0.0,0.0,5.4019199351535936e-05
2046,0.000244950771814335,0.0001562138884400853,0.0,0.0,6.100660731979664e-05
2047,0.00027105158436354737,0.00017285931229222453,0.0,0.0,6.750718704903444e-05
2048,0.00029389454394184946,0.0001874270865138587,0.0,0.0,7.319637698174364e-05
2049,0.0003122761972297018,0.0001991497257804513,0.0,0.0,7.77744491213597e-05
2050,0.0003251559960996862,0.00020736363524847905,0.0,0.0,8.098224808520485e-05
