,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,1.1836058548107878e-13,0.0,0.0,0.0,4.4526125014310596e-13
2021,8.239216523649649e-13,0.0,0.0,0.0,3.0995147874682015e-12
2022,6.694585084725233e-12,0.0,0.0,0.0,2.5184391509204448e-11
2023,2.7171926927369364e-11,0.0,0.0,0.0,1.0221820129819905e-10
2024,7.686077028649165e-11,0.0,0.0,0.0,2.8914289774442094e-10
2025,1.7558605511312082e-10,0.0,0.0,0.0,6.605380168541212e-10
2026,3.486772695956931e-10,0.0,0.0,0.0,1.3116906808599882e-09
2027,6.26927376984266e-10,0.0,0.0,0.0,2.358441084845572e-09
2028,1.055672379738117e-09,0.0,0.0,0.0,3.971338952348155e-09
2029,1.6950929960212198e-09,0.0,0.0,0.0,6.376778413603637e-09
2030,2.6196164157362838e-09,0.0,0.0,0.0,9.85474746872221e-09
2031,3.9168462002474215e-09,0.0,0.0,0.0,1.473480237235935e-08
2032,5.684959333258561e-09,0.0,0.0,0.0,2.1386275587020304e-08
2033,8.045900935431522e-09,0.0,0.0,0.0,3.026791304281383e-08
2034,1.1142347262853552e-08,0.0,0.0,0.0,4.191644922692527e-08
2035,1.51332962093089e-08,0.0,0.0,0.0,5.693001907311444e-08
2036,2.0188641987560644e-08,0.0,0.0,0.0,7.594774842939481e-08
2037,2.648141088659928e-08,0.0,0.0,0.0,9.962054571625445e-08
2038,3.420378643255654e-08,0.0,0.0,0.0,1.2867138705580796e-07
2039,4.356027612912526e-08,0.0,0.0,0.0,1.6386961020004267e-07
2040,5.476060000239995e-08,0.0,0.0,0.0,2.060041619137903e-07
2041,6.801282399734886e-08,0.0,0.0,0.0,2.5585776646621716e-07
2042,8.351421929602914e-08,0.0,0.0,0.0,3.141725392564906e-07
2043,1.0148230079921733e-07,0.0,0.0,0.0,3.817667506256271e-07
2044,1.2214902730407025e-07,0.0,0.0,0.0,4.5951300747721674e-07
2045,1.457545563880256e-07,0.0,0.0,0.0,5.483147597454297e-07
2046,1.725381192865995e-07,0.0,0.0,0.0,6.490719725543506e-07
2047,2.027270204603843e-07,0.0,0.0,0.0,7.626397436366838e-07
2048,2.3653437894015383e-07,0.0,0.0,0.0,8.898198064891502e-07
2049,2.741472040605433e-07,0.0,0.0,0.0,1.0313156724182342e-06
2050,3.1571432827642316e-07,0.0,0.0,0.0,1.1876872349446395e-06
