,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0
2026,9.979665079400861e-12,0.0,0.0,0.0,3.754254958441276e-11
2027,3.2733936103343206e-11,0.0,0.0,0.0,1.23141950103053e-10
2028,2.222175695591121e-10,0.0,0.0,0.0,8.359613331033266e-10
2029,8.777985255868578e-10,0.0,0.0,0.0,3.30219445339818e-09
2030,2.457415915346817e-09,0.0,0.0,0.0,9.244564633923742e-09
2031,5.580003226029669e-09,0.0,0.0,0.0,2.099144070744495e-08
2032,1.1010575994550298e-08,0.0,0.0,0.0,4.142073826521303e-08
2033,1.9702071030107494e-08,0.0,0.0,0.0,7.411731482754726e-08
2034,3.273182423214585e-08,0.0,0.0,0.0,1.2313400544473916e-07
2035,5.1258560322867454e-08,0.0,0.0,0.0,1.928298221669776e-07
2036,7.644930568999158e-08,0.0,0.0,0.0,2.875950071194921e-07
2037,1.0941396944761461e-07,0.0,0.0,0.0,4.1160493268388355e-07
2038,1.5106005603912649e-07,0.0,0.0,0.0,5.682735441471901e-07
2039,2.0199351682127467e-07,0.0,0.0,0.0,7.598803728038429e-07
2040,2.624028177397566e-07,0.0,0.0,0.0,9.871344095924176e-07
2041,3.319473902892859e-07,0.0,0.0,0.0,1.2487544682311231e-06
2042,4.0965126297923726e-07,0.0,0.0,0.0,1.5410690369218927e-06
2043,4.938343836001448e-07,0.0,0.0,0.0,1.8577579192576877e-06
2044,5.820967527264366e-07,0.0,0.0,0.0,2.1897925459708807e-06
2045,6.713582064199721e-07,0.0,0.0,0.0,2.525585633675134e-06
2046,7.579938813572117e-07,0.0,0.0,0.0,2.851500791772368e-06
2047,8.380597891617344e-07,0.0,0.0,0.0,3.1527011116084295e-06
2048,9.076062838293746e-07,0.0,0.0,0.0,3.414328401072409e-06
2049,9.630533448241435e-07,0.0,0.0,0.0,3.6229149638622544e-06
2050,1.0015847923644444e-06,0.0,0.0,0.0,3.767866599847195e-06
