,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0
2026,0.0,6.252898355088983e-07,0.0,1.0094365057542754e-07,2.0777568076775497e-06
2027,0.0,6.373188177162609e-07,0.0,1.02885549048365e-07,2.1177275512455127e-06
2028,0.0,6.574701659022597e-07,0.0,1.0613868149094776e-07,2.1846878606886742e-06
2029,0.0,7.017360933586376e-07,0.0,1.1328475049735855e-07,2.33177778107063e-06
2030,0.0,8.275684756423685e-07,0.0,1.335984983099788e-07,2.749902423547063e-06
2031,0.0,1.230125217869326e-06,0.0,1.9858523696545174e-07,4.087546127538881e-06
2032,0.0,1.3641566868032875e-06,0.0,2.2022260414761594e-07,4.532915268705094e-06
2033,0.0,1.7781630795796826e-06,0.0,2.870577168828187e-07,5.908604672504686e-06
2034,0.0,2.44143908958005e-06,0.0,3.941336646855686e-07,8.112584598111286e-06
2035,0.0,3.48058976110381e-06,0.0,5.618889300436645e-07,1.1565547143398758e-05
2036,0.0,4.672932471956999e-06,0.0,7.543747488361075e-07,1.5527546913543213e-05
2037,0.0,6.592924348272486e-06,0.0,1.064328594339953e-06,2.1907430233497366e-05
2038,0.0,9.05299932136953e-06,0.0,1.4614707424632424e-06,3.0081939449035073e-05
2039,0.0,1.2071855587957257e-05,0.0,1.9488197361724723e-06,4.011320623621672e-05
2040,0.0,1.564254977148313e-05,0.0,2.525254671629564e-06,5.1978158657708515e-05
2041,0.0,1.979482915386097e-05,0.0,3.1955778006232963e-06,6.577564306282951e-05
2042,0.0,2.444464048659904e-05,0.0,3.946219988868007e-06,8.122636143753313e-05
2043,0.0,2.9414977628169736e-05,0.0,4.748606253874936e-06,9.774214539225908e-05
2044,0.0,3.466899767685552e-05,0.0,5.596788862631384e-06,0.00011520057075582931
2045,0.0,3.9980950719746445e-05,0.0,6.4543238830083955e-06,0.00013285149992525613
2046,0.0,4.5148121875184954e-05,0.0,7.2884860426307555e-06,0.00015002133771081636
2047,0.0,4.993531793074741e-05,0.0,8.061306930524246e-06,0.00016592856765329072
2048,0.0,5.4105660477017904e-05,0.0,8.734546085975985e-06,0.0001797860736030057
2049,0.0,5.744300999072462e-05,0.0,9.273311029892765e-06,0.00019087565203195942
2050,0.0,5.977154098850287e-05,0.0,9.649217379309882e-06,0.00019861305772412836
