,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,1.9344096968094468e-08,0.0,3.1228138603201835e-09,6.427791862492376e-08
2021,0.0,2.101084104024331e-08,0.0,3.3918846522365883e-09,6.981629242520311e-08
2022,0.0,2.241431341017843e-08,0.0,3.618454182809075e-09,7.447984859615344e-08
2023,0.0,2.4895324648824157e-08,0.0,4.018976176491793e-09,8.272392629945606e-08
2024,0.0,2.9545269030906684e-08,0.0,4.769639843554443e-09,9.817508677982893e-08
2025,0.0,3.7848099054051896e-08,0.0,6.110007022178782e-09,1.2576431120651325e-07
2026,0.0,1.1180875564901209e-07,0.0,1.8049843961275496e-08,3.715259548695873e-07
2027,0.0,1.3537792418157782e-07,0.0,2.1854732154873552e-08,4.4984323685448053e-07
2028,0.0,1.700789217363455e-07,0.0,2.7456686917078196e-08,5.651501390431927e-07
2029,0.0,2.2042470357167122e-07,0.0,3.5584257078834814e-08,7.324426248726832e-07
2030,0.0,2.96432387603466e-07,0.0,4.7854555846299444e-08,9.85006274502997e-07
2031,0.0,5.166208441529329e-07,0.0,8.340067439240174e-08,1.7166638812436024e-06
2032,0.0,6.533058846708821e-07,0.0,1.0546642084372985e-07,2.170850495700106e-06
2033,0.0,8.341988727950507e-07,0.0,1.346688763256584e-07,2.771934371036469e-06
2034,0.0,1.0701640782933255e-06,0.0,1.7276191398457273e-07,3.5560160628491217e-06
2035,0.0,1.373342539150652e-06,0.0,2.2170552201535194e-07,4.56343866148266e-06
2036,0.0,1.939190259378598e-06,0.0,3.130531360431817e-07,6.443677050222157e-06
2037,0.0,2.4170881193517134e-06,0.0,3.9020256635274304e-07,8.031669490760625e-06
2038,0.0,3.0030403919687583e-06,0.0,4.847957583447323e-07,9.978712692595738e-06
2039,0.0,3.712854501229167e-06,0.0,5.993845831580718e-07,1.2337332670003646e-05
2040,0.0,4.590031314766269e-06,0.0,7.409916023837923e-07,1.525207714906639e-05
2041,0.0,5.915657901996828e-06,0.0,9.549941007707885e-07,1.9656961907532057e-05
2042,0.0,7.094502596217298e-06,0.0,1.1453008675507748e-06,2.357410952375344e-05
2043,0.0,8.462171976360983e-06,0.0,1.3660905432690376e-06,2.811869701562102e-05
2044,0.0,1.003710972681011e-05,0.0,1.620340583700287e-06,3.33520103478309e-05
2045,0.0,1.1838514628359271e-05,0.0,1.9111503435916313e-06,3.933784457226108e-05
2046,0.0,1.396380543447549e-05,0.0,2.254246617224743e-06,4.639990953787595e-05
2047,0.0,1.627503380483915e-05,0.0,2.6273597173731366e-06,5.407982084926372e-05
2048,0.0,1.886776944813672e-05,0.0,3.0459179378157936e-06,6.269514422004173e-05
2049,0.0,2.1757449634540916e-05,0.0,3.5124133939169197e-06,7.229717569145658e-05
2050,0.0,2.4956594965619753e-05,0.0,4.028867348709916e-06,8.292751959427909e-05
