,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0
2026,3.092914778746908e-11,0.0,0.0,0.0,1.1635250834333608e-10
2027,2.0995268240324943e-10,0.0,0.0,0.0,7.898219957074622e-10
2028,1.7068927179956128e-09,0.0,0.0,0.0,6.421167843888258e-09
2029,6.888003033506263e-09,0.0,0.0,0.0,2.591201141176166e-08
2030,1.937268281615654e-08,0.0,0.0,0.0,7.287818773696986e-08
2031,4.403677581009172e-08,0.0,0.0,0.0,1.656621566189165e-07
2032,8.697228926255514e-08,0.0,0.0,0.0,3.271814691305646e-07
2033,1.556748828367661e-07,0.0,0.0,0.0,5.856340830525963e-07
2034,2.5866648498755135e-07,0.0,0.0,0.0,9.73078681619836e-07
2035,4.051011176786188e-07,0.0,0.0,0.0,1.5239518236481375e-06
2036,6.042240910734028e-07,0.0,0.0,0.0,2.273033485466611e-06
2037,8.647705389361848e-07,0.0,0.0,0.0,3.2531844083789814e-06
2038,1.1939308841941513e-06,0.0,0.0,0.0,4.4914542786351405e-06
2039,1.5964957103050193e-06,0.0,0.0,0.0,6.005864814956977e-06
2040,2.073956732228404e-06,0.0,0.0,0.0,7.802027706954473e-06
2041,2.62361724764869e-06,0.0,0.0,0.0,9.869798217345072e-06
2042,3.237766022045031e-06,0.0,0.0,0.0,1.2180167416264642e-05
2043,3.903129767700795e-06,0.0,0.0,0.0,1.468320245944585e-05
2044,4.60073225642229e-06,0.0,0.0,0.0,1.7307516583683855e-05
2045,5.3062316980423674e-06,0.0,0.0,0.0,1.9961538292635574e-05
2046,5.990977294735525e-06,0.0,0.0,0.0,2.2537486013528882e-05
2047,6.623796886735551e-06,0.0,0.0,0.0,2.4918093050100405e-05
2048,7.17347366755105e-06,0.0,0.0,0.0,2.6985924749358716e-05
2049,7.611712310114654e-06,0.0,0.0,0.0,2.8634536785669415e-05
2050,7.916255006814959e-06,0.0,0.0,0.0,2.9780197406589606e-05
