,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,2.4919769149214346e-12,0.0,0.0,0.0,9.374579822799684e-12
2021,9.986045103790262e-12,0.0,0.0,0.0,3.756655062854432e-11
2022,7.153354129940422e-11,0.0,0.0,0.0,2.691023696501397e-10
2023,2.86059729451832e-10,0.0,0.0,0.0,1.0761294584140346e-09
2024,8.065247768310153e-10,0.0,0.0,0.0,3.034069398554772e-09
2025,1.8405606720727082e-09,0.0,0.0,0.0,6.92401395684495e-09
2026,3.6573433261100573e-09,0.0,0.0,0.0,1.3758577274414027e-08
2027,6.5717099466638675e-09,0.0,0.0,0.0,2.4722146942211692e-08
2028,1.1062241918728086e-08,0.0,0.0,0.0,4.161510055140566e-08
2029,1.775922880818845e-08,0.0,0.0,0.0,6.680852742128035e-08
2030,2.7442168200441906e-08,0.0,0.0,0.0,1.0323482323023383e-07
2031,4.103603017046828e-08,0.0,0.0,0.0,1.5437363730795213e-07
2032,5.955422634334821e-08,0.0,0.0,0.0,2.2403732767259567e-07
2033,8.42812614329231e-08,0.0,0.0,0.0,3.170580787238536e-07
2034,1.1671142873965497e-07,0.0,0.0,0.0,4.390572795444164e-07
2035,1.585099635964411e-07,0.0,0.0,0.0,5.962993868628023e-07
2036,2.1146752056656451e-07,0.0,0.0,0.0,7.955206726075522e-07
2037,2.7737372401728525e-07,0.0,0.0,0.0,1.0434535332078828e-06
2038,3.582525952217703e-07,0.0,0.0,0.0,1.3477121439295167e-06
2039,4.562460082947325e-07,0.0,0.0,0.0,1.7163540312039937e-06
2040,5.73550429283989e-07,0.0,0.0,0.0,2.1576420911159595e-06
2041,7.123636373652165e-07,0.0,0.0,0.0,2.6798441596120054e-06
2042,8.747144615222621e-07,0.0,0.0,0.0,3.2905924981075575e-06
2043,1.0628996153804707e-06,0.0,0.0,0.0,3.998527124526533e-06
2044,1.2793484780774587e-06,0.0,0.0,0.0,4.812787131815202e-06
2045,1.526576296045303e-06,0.0,0.0,0.0,5.742834637503759e-06
2046,1.8070931821105076e-06,0.0,0.0,0.0,6.798112446987148e-06
2047,2.123270628328469e-06,0.0,0.0,0.0,7.987541887521385e-06
2048,2.4773452646909306e-06,0.0,0.0,0.0,9.319536948123024e-06
2049,2.871275697212527e-06,0.0,0.0,0.0,1.0801465718085221e-05
2050,3.3066206934843256e-06,0.0,0.0,0.0,1.2439192132631513e-05
