,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,2.3002478271423858e-06,3.5224186547121656e-05
2027,0.0,0.0,0.0,2.340948481307763e-06,3.584744436221202e-05
2028,0.0,0.0,0.0,2.385312825798969e-06,3.652680505020379e-05
2029,0.0,0.0,0.0,2.4450978142054233e-06,3.744230535390914e-05
2030,0.0,0.0,0.0,2.6596424458012805e-06,4.072767314638927e-05
2031,0.0,0.0,0.0,3.650057651231306e-06,5.589411284193844e-05
2032,0.0,0.0,0.0,3.288704323739074e-06,5.03606321157238e-05
2033,0.0,0.0,0.0,3.44458287086804e-06,5.274763361963832e-05
2034,0.0,0.0,0.0,3.834956696476998e-06,5.872551143528479e-05
2035,0.0,0.0,0.0,4.743308415095935e-06,7.263529542007428e-05
2036,0.0,0.0,0.0,5.166014524667513e-06,7.910828440954965e-05
2037,0.0,0.0,0.0,7.04275553529328e-06,0.00010784722057063297
2038,0.0,0.0,0.0,9.539979966285163e-06,0.00014608775194701278
2039,0.0,0.0,0.0,1.2630879755760221e-05,0.00019341936095810963
2040,0.0,0.0,0.0,1.625995951681808e-05,0.0002489922348847819
2041,0.0,0.0,0.0,2.059015413570609e-05,0.00031530143045982554
2042,0.0,0.0,0.0,2.5465486858603306e-05,0.00038995844231926464
2043,0.0,0.0,0.0,3.04987372175182e-05,0.00046703368068653074
2044,0.0,0.0,0.0,3.5932028702638486e-05,0.0005502348343094085
2045,0.0,0.0,0.0,4.141929988408218e-05,0.0006342625905577152
2046,0.0,0.0,0.0,4.678515320391966e-05,0.0007164310491438725
2047,0.0,0.0,0.0,5.178501898900738e-05,0.0007929950623977362
2048,0.0,0.0,0.0,5.616916046884743e-05,0.0008601303577831499
2049,0.0,0.0,0.0,5.9706122681697335e-05,0.0009142926160083082
2050,0.0,0.0,0.0,6.219269168722843e-05,0.0009523699785775093
