,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,1.678843729355566e-05,1.3284160853824988e-06,3.01994859683582e-07,7.42837611395563e-08,4.5148184821900245e-06
2021,1.82876228788856e-05,1.4469740791113513e-06,3.333307856256998e-07,8.054538095584211e-08,4.928120234516742e-06
2022,1.994948147069844e-05,1.5778998621989959e-06,4.0004953578311467e-07,8.476404273571881e-08,5.460469315177623e-06
2023,2.3651864736164416e-05,1.8688616887841403e-06,5.951896170431028e-07,9.020447444644242e-08,6.754349297452444e-06
2024,3.1447175357766406e-05,2.4808356609896117e-06,1.0473738379429251e-06,9.81420400152501e-08,9.5744570928878e-06
2025,4.6123534735936905e-05,3.632503994614793e-06,1.9312363151385567e-06,1.1031742788994146e-07,1.4959386156455494e-05
2026,0.0001233829813669143,9.728959408291308e-06,4.405493349932505e-06,3.5985404546386594e-07,3.825239454257815e-05
2027,0.0001648931784415951,1.298640115242397e-05,6.8992147542778165e-06,3.9481576750377293e-07,5.3468659824469494e-05
2028,0.00022745305026703827,1.7894763138321262e-05,1.0716544728828681e-05,4.4247996143119487e-07,7.65380407680201e-05
2029,0.0003195334007959473,2.511844543129352e-05,1.6387732302774996e-05,5.081623993644909e-07,0.00011061522441244216
2030,0.00045546365056394606,3.578559479674117e-05,2.4637846033728587e-05,6.154713618823206e-07,0.0001606412720745728
2031,0.0007446864713467644,5.854654028803273e-05,3.7981413306489843e-05,1.2021857357628458e-06,0.0002573126427849331
2032,0.00099719670933941,7.835609638321046e-05,5.3627375022119296e-05,1.3740883085906903e-06,0.0003509886438147407
2033,0.0013332004456465892,0.00010471918067044269,7.450356144874005e-05,1.5973958584176433e-06,0.0004757944343553394
2034,0.0017732500035095228,0.00013925399599934533,0.00010188287347333679,1.8853374310510495e-06,0.0006393852254861846
2035,0.0023403837857731394,0.0001837764385330877,0.0001371886263018313,2.2527834367673406e-06,0.0008503443279550987
2036,0.0032176301012431245,0.00025276635171718454,0.00018478697835353538,3.41659146281573e-06,0.0011604512688537588
2037,0.004114978788803955,0.00032326120295532077,0.00024058253062854553,3.995354993447914e-06,0.0014943949812381513
2038,0.005219761578820707,0.0004100470978907554,0.0003091943108818288,4.7035777054044e-06,0.0019056408607384195
2039,0.006566086712055376,0.0005157434993961175,0.0003926038932255965,5.561107919984029e-06,0.0024068329469826033
2040,0.00821473697665466,0.000645049484495274,0.000493340744417771,6.693095412787588e-06,0.003018084958374512
2041,0.01043467834059267,0.0008190763777394189,0.0006176944994542246,9.137729300867062e-06,0.0038156104946005316
2042,0.012736667733360948,0.0009988943500746725,0.0007583265793476622,1.056912224186081e-05,0.004671893392349445
2043,0.015444349906269467,0.0012098612424985221,0.000922678018621582,1.2232931359955661e-05,0.005678659606993247
2044,0.018611298130637582,0.0014558930015323899,0.0011134994576496356,1.4153631060205433e-05,0.006855598971354109
2045,0.02229599379056606,0.0017412383319829416,0.001333741022546013,1.6356958307325306e-05,0.008224185530490567
2046,0.026627739660363185,0.002075706279429151,0.0015876678796903799,1.9169298172470735e-05,0.00982521163357898
2047,0.031532960977680886,0.002453011587565423,0.0018758653622940775,2.201532416278125e-05,0.011644947916823793
2048,0.03714090386495569,0.002882909317613648,0.002202491402980688,2.521954638318327e-05,0.013724127311258742
2049,0.04350921101943247,0.003369494660746157,0.002570253397884333,2.8803892212384447e-05,0.016083844150328114
2050,0.050688189497336646,0.003916323718844839,0.0029814566840734797,3.27867215614416e-05,0.01874249679371131
