,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,1.638694337316644e-07,1.8049047629587622e-08,2.8279182278264372e-08,0.0,2.3878117486613958e-08
2021,1.7777564520072476e-07,1.95807174928227e-08,3.0678997057496506e-08,0.0,2.5904451157819893e-08
2022,1.8786715455859668e-07,2.0692225166382592e-08,3.24205032438264e-08,0.0,2.737492823568123e-08
2023,2.0261010658983028e-07,2.2316056025822753e-08,3.4964715537216433e-08,0.0,2.952318696023241e-08
2024,2.2677531905224188e-07,2.4977681569896947e-08,3.9134940773586886e-08,0.0,3.3044403633326674e-08
2025,2.6686119819112917e-07,2.9392854829337255e-08,4.60526182021263e-08,0.0,3.888548887927883e-08
2026,8.40485430611297e-07,9.257346671447293e-08,1.4504377145406384e-07,0.0,1.22470734174789e-07
2027,9.549123521546768e-07,1.0517677478732233e-07,1.6479058877183564e-07,0.0,1.3914437131396718e-07
2028,1.1175614220559117e-06,1.2309140805787268e-07,1.9285917112050593e-07,0.0,1.6284466435671858e-07
2029,1.3482582994975284e-06,1.485010212732279e-07,2.3267086082757348e-07,0.0,1.9646049506963987e-07
2030,1.7091421477182994e-06,1.882497994129728e-07,2.9494910206338655e-07,0.0,2.4904642723895216e-07
2031,3.1776411597678068e-06,3.499944763115687e-07,5.483700744285016e-07,0.0,4.630277118518804e-07
2032,3.7945257398138514e-06,4.179399064852117e-07,6.548267276707332e-07,0.0,5.529166078014469e-07
2033,4.604735228211029e-06,5.071786944215295e-07,7.946457365255606e-07,0.0,6.709757046821786e-07
2034,5.656832459278081e-06,6.230596894433434e-07,9.762076586868462e-07,0.0,8.242813012090918e-07
2035,7.005269577435319e-06,7.715804063146621e-07,1.2089093785059808e-06,0.0,1.0207678527120035e-06
2036,1.0254535119821883e-05,1.1294637967689538e-06,1.7696397749635477e-06,0.0,1.4942322603169027e-06
2037,1.2381108812735163e-05,1.3636906992312597e-06,2.136625635112011e-06,0.0,1.8041044269985523e-06
2038,1.4987473268519217e-05,1.6507631271469036e-06,2.5864096726244592e-06,0.0,2.1838889619842286e-06
2039,1.8145554808740172e-05,1.998603251076955e-06,3.1314043155654473e-06,0.0,2.6440665578449966e-06
2040,2.21605919166749e-05,2.4408309096794803e-06,3.82428500504904e-06,0.0,3.229114822144057e-06
2041,2.9351185089911473e-05,3.2328233863316813e-06,5.065175941230439e-06,0.0,4.276886970244243e-06
2042,3.461410114839096e-05,3.812495997915636e-06,5.973404883893755e-06,0.0,5.043769024479826e-06
2043,4.072763796566505e-05,4.485858410218254e-06,7.02842666607477e-06,0.0,5.934598674996908e-06
2044,4.777828429767296e-05,5.262436741929411e-06,8.245166775941276e-06,0.0,6.961978569089487e-06
2045,5.585655134486321e-05,6.152200155269939e-06,9.639244860656396e-06,0.0,8.139097481680068e-06
2046,6.571613737011269e-05,7.2381631303367035e-06,1.1340727706156591e-05,0.0,9.57578001678785e-06
2047,7.611998696061533e-05,8.384072849519211e-06,1.3136134892631906e-05,0.0,1.1091769528546807e-05
2048,8.781416888587518e-05,9.67210345871569e-06,1.5154216573448177e-05,0.0,1.2795778894798955e-05
2049,0.00010087367813350257,1.1110515120132934e-05,1.7407914740753014e-05,0.0,1.4698735956596088e-05
2050,0.00011536037952052534,1.2706121801475015e-05,1.990790549439923e-05,0.0,1.6809655301562262e-05
