,Energy consumption,Energy saved,CO2 emission,CO2 saved
2020,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0
2026,5281138.364504458,6.902296729718175,406623.1662402248,0.7687936338633063
2027,5182669.935069916,37.658201336421435,399041.55375673255,4.194456799507306
2028,5087367.533462808,121.98981833282792,391703.7107355689,13.58750563803255
2029,4982831.917531486,302.0677181846787,383654.9530244357,33.64499496756325
2030,5066874.533640835,632.6739549094954,389530.2556504383,70.46868728203195
2031,6553227.264450433,1183.187053489158,503797.8096178662,131.78615420334322
2032,5074439.091591796,2036.5386706896081,390111.8023559974,226.83457012053017
2033,4278500.321663794,3287.828592351142,328921.766866927,366.2064452728494
2034,3463013.7674293146,5041.467971589957,266228.9403835765,561.5314291913868
2035,3022790.2446235786,7408.981538139291,232385.5167417765,825.2315133283936
2036,1081420.5445191958,10504.666991990078,83546.39414722566,1170.0377036379475
2037,812240.757120135,14442.206596297561,62750.59853516147,1608.612641070519
2038,738369.8993054123,19331.21577351282,57043.620029656566,2153.166207045096
2039,717509.4459825995,25274.3452281124,55432.02159625302,2815.132725152718
2040,541145.5715064493,32363.647198521277,41761.92022735169,3604.7661995049207
2041,704060.9441659731,40676.77230506546,54334.61629114129,4530.716718984518
2042,946450.5304367907,50272.884843759,73040.589505711,5599.575521957404
2043,687784.1349012143,61187.71993630889,53078.48329133057,6815.324431064662
2044,717159.3811127831,73428.4439051377,55345.46421761121,8178.7633766658455
2045,711687.6837140553,86968.28461481312,54923.19597352718,9686.912279232052
2046,764212.1070350719,101741.57555561297,58976.672324841646,11332.45903321227
2047,868296.4595309282,117639.38784186376,67009.19195490518,13103.272973883555
2048,1009591.4901721271,134506.20720787416,77913.37764699604,14982.03474263845
2049,1166822.7266525412,152138.06493305395,90047.41089217925,16946.02809324663
2050,1283168.3208157283,170282.5051328893,99026.16943347309,18967.13622572834
