,Energy consumption,Energy saved,CO2 emission,CO2 saved
2020,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0
2026,5281138.364504458,11.945504165908066,406623.1662402248,1.3314539549352857
2027,5182669.935069916,65.17340800606152,399041.55375673255,7.264272034154467
2028,5087367.533462808,211.12246258828446,391703.7107355689,23.531852141586008
2029,4982831.917531486,522.7754365333923,383654.9530244357,58.268902915115554
2030,5066874.533640835,1094.9405174563972,389530.2556504383,122.04282247369993
2031,6553227.264450433,2047.6860856850992,503797.8096178662,228.2365510206173
2032,5074439.091591796,3524.5348576186075,390111.8023559974,392.8472924835223
2033,4278500.321663794,5690.067054393956,328921.766866927,634.2193596032655
2034,3463013.7674293146,8724.976568978218,266228.9403835765,972.4931264972594
2035,3022790.2446235786,12822.267494782252,232385.5167417765,1429.1810883883666
2036,1081420.5445191958,18179.742441568524,83546.39414722566,2026.330816905972
2037,812240.757120135,24994.138607633988,62750.59853516147,2785.871407972184
2038,738369.8993054123,33455.154803644764,57043.620029656566,3728.947777527797
2039,717509.4459825995,43740.43632809819,55432.02159625302,4875.361633582765
2040,541145.5715064493,56009.286302942404,41761.92022735169,6242.870498087453
2041,704060.9441659731,70396.08384754328,54334.61629114129,7846.454105018983
2042,946450.5304367907,87003.21498823972,73040.589505711,9697.52651882276
2043,687784.1349012143,105892.51854922266,53078.48329133057,11802.982660098978
2044,717159.3811127831,127076.39151703556,55345.46421761121,14164.20688503369
2045,711687.6837140553,150508.49635510927,54923.19597352718,16776.03716898209
2046,764212.1070350719,175064.22624944645,58976.672324841646,19512.581819219486
2047,868296.4595309282,202143.31909113884,67009.19195490518,22530.716297056224
2048,1009591.4901721271,231435.8640211307,77913.37764699604,25795.879037833718
2049,1166822.7266525412,262232.3668970002,90047.41089217925,29228.800511474685
2050,1283168.3208157283,293100.1744800908,99026.16943347309,32669.262728818794
