,Closed-loop recycling,Open to high and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,4.388067169344775e-05
1995,0.0,0.0,0.0,0.0,0.00036847833309933955
1996,0.0,0.0,0.0,0.0,0.0013628797316163838
1997,0.0,0.0,0.0,0.0,0.0037950337187438255
1998,0.0,0.0,0.0,0.0,0.00865448319382087
1999,0.0,0.0,0.0,0.0,0.01759608688319914
2000,0.0,0.0,0.0,0.0,0.04771165630938524
2001,0.0,0.0,0.0,0.0,0.18306454235402309
2002,0.0,0.0,0.0,0.0,0.5577297917326016
2003,0.0,0.0,0.0,0.0,1.3565699919261076
2004,0.0,0.0,0.0,0.0,2.8041316785553847
2005,0.0,0.0,0.0,0.0,5.218771072724383
2006,0.0,0.0,0.0,0.0,9.066222847441042
2007,0.0,0.0,0.0,0.0,15.113403698102548
2008,0.0,0.0,0.0,0.0,24.953161093761302
2009,0.0,0.0,0.0,0.0,40.69816589744482
2010,0.0,0.0,0.0,0.0,65.05234134466383
2011,0.0,0.0,0.0,0.0,101.67515983172649
2012,0.0,0.0,0.0,0.0,155.18933749896024
2013,0.0,0.0,0.0,0.0,231.52724275024207
2014,0.0,0.0,0.0,0.0,337.7073462342558
2015,0.0,0.0,0.0,0.0,482.13352281500056
2016,0.0,0.0,0.0,0.0,675.4134207487778
2017,0.0,0.0,0.0,0.0,929.5544278803266
2018,0.0,0.0,0.0,0.0,1256.298929495386
2019,0.0,0.0,0.0,0.0,1665.952543916705
2020,2166.571603329416,0.0,0.0,0.0,0.0
2021,2763.5100072395444,0.0,0.0,0.0,0.0
2022,3457.5900888974447,0.0,0.0,0.0,0.0
2023,4246.164116823374,0.0,0.0,0.0,0.0
2024,5120.8246406222825,0.0,0.0,0.0,0.0
2025,6068.243020612531,0.0,0.0,0.0,0.0
2026,7035.360941897903,0.0,0.0,0.0,0.0
2027,8066.491481825597,0.0,0.0,0.0,0.0
2028,9092.421992472395,0.0,0.0,0.0,0.0
2029,10114.348362582916,0.0,0.0,0.0,0.0
2030,11049.47053127661,0.0,0.0,0.0,0.0
2031,11887.89635185275,0.0,0.0,0.0,0.0
2032,12640.323224834072,0.0,0.0,0.0,0.0
2033,12906.629743956919,0.0,0.0,0.0,0.0
2034,13473.410760466173,0.0,0.0,0.0,0.0
2035,13847.581017642924,0.0,0.0,0.0,0.0
2036,13929.263665478682,0.0,0.0,0.0,0.0
2037,14148.352775567253,0.0,0.0,0.0,0.0
2038,14060.677426726279,0.0,0.0,0.0,0.0
2039,14317.959787728305,0.0,0.0,0.0,0.0
2040,14498.971769988415,0.0,0.0,0.0,0.0
2041,14228.518174226396,0.0,0.0,0.0,0.0
2042,14671.257574677025,0.0,0.0,0.0,0.0
2043,15930.533135971178,0.0,0.0,0.0,0.0
2044,17446.956662828557,0.0,0.0,0.0,0.0
2045,18878.867664381323,0.0,0.0,0.0,0.0
2046,20384.227537651812,0.0,0.0,0.0,0.0
2047,21876.718930382503,0.0,0.0,0.0,0.0
2048,23438.441862359836,0.0,0.0,0.0,0.0
2049,24808.73582093141,0.0,0.0,0.0,0.0
2050,25962.715015924685,0.0,0.0,0.0,0.0
