,Closed-loop recycling,Open to high and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,4.388067169344775e-05
1995,0.0,0.0,0.0,0.0,0.00036847833309933955
1996,0.0,0.0,0.0,0.0,0.0013628797316163838
1997,0.0,0.0,0.0,0.0,0.0037950337187438255
1998,0.0,0.0,0.0,0.0,0.00865448319382087
1999,0.0,0.0,0.0,0.0,0.01759608688319914
2000,0.0,0.0,0.0,0.0,0.04771165630938524
2001,0.0,0.0,0.0,0.0,0.18306454235402309
2002,0.0,0.0,0.0,0.0,0.5577297917326016
2003,0.0,0.0,0.0,0.0,1.3565699919261076
2004,0.0,0.0,0.0,0.0,2.8041316785553847
2005,0.0,0.0,0.0,0.0,5.218771072724383
2006,0.0,0.0,0.0,0.0,9.066222847441042
2007,0.0,0.0,0.0,0.0,15.113403698102548
2008,0.0,0.0,0.0,0.0,24.953161093761302
2009,0.0,0.0,0.0,0.0,40.69816589744482
2010,0.0,0.0,0.0,0.0,65.05234134466383
2011,0.0,0.0,0.0,0.0,101.67515983172649
2012,0.0,0.0,0.0,0.0,155.18933749896024
2013,0.0,0.0,0.0,0.0,231.52724275024207
2014,0.0,0.0,0.0,0.0,337.7073462342558
2015,0.0,0.0,0.0,0.0,482.13352281500056
2016,0.0,0.0,0.0,0.0,675.4134207487778
2017,0.0,0.0,0.0,0.0,929.5544278803266
2018,0.0,0.0,0.0,0.0,1256.298929495386
2019,0.0,0.0,0.0,0.0,1665.952543916705
2020,2166.571603329416,0.0,0.0,0.0,0.0
2021,2763.5099854325167,0.0,0.0,0.0,0.0
2022,3457.47397807996,0.0,0.0,0.0,0.0
2023,4245.696645821057,0.0,0.0,0.0,0.0
2024,5121.749281903317,0.0,0.0,0.0,0.0
2025,6075.415859579408,0.0,0.0,0.0,0.0
2026,7057.456216449519,0.0,0.0,0.0,0.0
2027,8115.766031193939,0.0,0.0,0.0,0.0
2028,9184.707033597735,0.0,0.0,0.0,0.0
2029,10268.616107780059,0.0,0.0,0.0,0.0
2030,11287.124497184097,0.0,0.0,0.0,0.0
2031,12231.88243976585,0.0,0.0,0.0,0.0
2032,13114.959158926153,0.0,0.0,0.0,0.0
2033,13540.15761027693,0.0,0.0,0.0,0.0
2034,14301.34004962331,0.0,0.0,0.0,0.0
2035,14915.701475756274,0.0,0.0,0.0,0.0
2036,15296.173853448601,0.0,0.0,0.0,0.0
2037,15886.931943233607,0.0,0.0,0.0,0.0
2038,16257.004814449654,0.0,0.0,0.0,0.0
2039,17069.29025945952,0.0,0.0,0.0,0.0
2040,17911.580837410038,0.0,0.0,0.0,0.0
2041,18415.39460902249,0.0,0.0,0.0,0.0
2042,19750.486783026445,0.0,0.0,0.0,0.0
2043,22027.068823924084,0.0,0.0,0.0,0.0
2044,24694.976320104557,0.0,0.0,0.0,0.0
2045,27422.882732840957,0.0,0.0,0.0,0.0
2046,30378.200108763525,0.0,0.0,0.0,0.0
2047,33480.413216202964,0.0,0.0,0.0,0.0
2048,36620.01474298572,0.0,0.0,0.0,0.0
2049,39944.73114367477,0.0,0.0,0.0,0.0
2050,43168.86133405787,0.0,0.0,0.0,0.0
