,Closed-loop recycling,Open to high and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0021612908920110945,0.0,0.0
1995,0.0,0.0,0.018148967062187184,0.0,0.0
1996,0.0,0.0,0.06647184226710978,0.0,0.0
1997,0.0,0.0,0.18141805450492443,0.0,0.0
1998,0.0,0.0,0.40614259240466166,0.0,0.0
1999,0.0,0.0,0.8097216681903896,0.0,0.0
2000,0.0,0.0,2.077779954091087,0.0,0.0
2001,0.0,0.0,7.566236477606536,0.0,0.0
2002,0.0,0.0,22.611048738497136,0.0,0.0
2003,0.0,0.0,54.52448226694691,0.0,0.0
2004,0.0,0.0,112.12878796813327,0.0,0.0
2005,0.0,0.0,207.72023437641832,0.0,0.0
2006,0.0,0.0,358.8220165541864,0.0,0.0
2007,0.0,0.0,593.9632978815437,0.0,0.0
2008,0.0,0.0,972.2320708308746,0.0,0.0
2009,0.0,0.0,1572.188324827156,0.0,0.0
2010,0.0,0.0,2494.395570096072,0.0,0.0
2011,0.0,0.0,3874.2254692317324,0.0,0.0
2012,0.0,0.0,5881.73969214038,0.0,0.0
2013,0.0,0.0,8733.683800275745,0.0,0.0
2014,0.0,0.0,12687.338370315794,0.0,0.0
2015,0.0,0.0,18052.025080170202,0.0,0.0
2016,0.0,0.0,25215.41604813969,0.0,0.0
2017,0.0,0.0,34614.171355522165,0.0,0.0
2018,0.0,0.0,46675.681265702995,0.0,0.0
2019,0.0,0.0,61774.934880335146,0.0,0.0
2020,80203.03610344305,0.0,0.0,0.0,0.0
2021,102155.99315617501,0.0,0.0,0.0,0.0
2022,127653.02928163405,0.0,0.0,0.0,0.0
2023,156589.8820219778,0.0,0.0,0.0,0.0
2024,188720.59244499117,0.0,0.0,0.0,0.0
2025,223656.823344141,0.0,0.0,0.0,0.0
2026,259470.6645270145,0.0,0.0,0.0,0.0
2027,298124.0895255311,0.0,0.0,0.0,0.0
2028,337075.45251241315,0.0,0.0,0.0,0.0
2029,376530.2861636861,0.0,0.0,0.0,0.0
2030,413423.55618216214,0.0,0.0,0.0,0.0
2031,447635.33756294794,0.0,0.0,0.0,0.0
2032,479294.1662722069,0.0,0.0,0.0,0.0
2033,493825.5618763031,0.0,0.0,0.0,0.0
2034,520460.7105259865,0.0,0.0,0.0,0.0
2035,541472.9837207714,0.0,0.0,0.0,0.0
2036,553968.5704022406,0.0,0.0,0.0,0.0
2037,573717.2183365367,0.0,0.0,0.0,0.0
2038,585641.7029919307,0.0,0.0,0.0,0.0
2039,611808.0199488169,0.0,0.0,0.0,0.0
2040,638307.2491091581,0.0,0.0,0.0,0.0
2041,654596.5746325884,0.0,0.0,0.0,0.0
2042,700063.3190665339,0.0,0.0,0.0,0.0
2043,777707.3432094012,0.0,0.0,0.0,0.0
2044,870152.3410622334,0.0,0.0,0.0,0.0
2045,964377.5942730325,0.0,0.0,0.0,0.0
2046,1066967.862792469,0.0,0.0,0.0,0.0
2047,1174510.8391680373,0.0,0.0,0.0,0.0
2048,1283088.4747078905,0.0,0.0,0.0,0.0
2049,1397971.488178215,0.0,0.0,0.0,0.0
2050,1509063.3506417936,0.0,0.0,0.0,0.0
