,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,3.3239786035362136e-09,2.850950879186829e-09,0.0,0.0,2.1733706253890628e-10
1994,3.932794475774797e-11,3.373127569606845e-11,0.0,0.0,2.5714425418527517e-12
1995,6.863431017057403e-09,5.886711987706925e-09,0.0,0.0,4.487627972691379e-10
1996,1.2183161629954088e-09,1.0449404013383696e-09,0.0,0.0,7.965913373431519e-11
1997,1.070424847257859e-08,9.18095157455779e-09,0.0,0.0,6.998931693609079e-10
1998,3.036565966143996e-08,2.604439270961965e-08,0.0,0.0,1.985446977863382e-09
1999,1.2630888483709314e-06,1.0833415891796833e-06,0.0,0.0,8.258657854733015e-08
2000,4.381609384006103e-07,3.758072663974465e-07,0.0,0.0,2.8648984433886058e-08
2001,9.785163230492965e-07,8.392659232307427e-07,0.0,0.0,6.397991343014632e-08
2002,6.738019405472209e-07,5.779147413155009e-07,0.0,0.0,4.405628072808752e-08
2003,2.645966774296922e-06,2.2694253487238984e-06,0.0,0.0,1.730055198578757e-07
2004,4.795358091987241e-06,4.112941748127518e-06,0.0,0.0,3.135426444760889e-07
2005,6.791624862268919e-06,5.82512440109988e-06,0.0,0.0,4.4406777945604473e-07
2006,2.5917245500431574e-05,2.222902210229323e-05,0.0,0.0,1.694589128874372e-06
2007,1.8168065558701743e-05,1.5582610075348036e-05,0.0,0.0,1.1879119788381911e-06
2008,3.0299813954469827e-05,2.5987917353256807e-05,0.0,0.0,1.9811416816384116e-06
2009,5.478465900522573e-05,4.698838060832821e-05,0.0,0.0,3.5820738580339904e-06
2010,7.14134295230759e-05,6.125074916786892e-05,0.0,0.0,4.6693396226626545e-06
2011,0.00011665999480695153,0.00010005838016134687,0.0,0.0,7.627768891223754e-06
2012,0.0001544979538634233,0.00013251170658285918,0.0,0.0,1.0101789291069984e-05
2013,0.0002299901022454375,0.00019726074154127906,0.0,0.0,1.5037814377586299e-05
2014,0.00035121986677679725,0.000301238578043176,0.0,0.0,2.2964375904636742e-05
2015,0.00045738368576747054,0.000392294468946715,0.0,0.0,2.9905856377103843e-05
2016,0.0005917556787190595,0.0005075442936705778,0.0,0.0,3.869171745470774e-05
2017,0.0007973622595970198,0.0006838914765005207,0.0,0.0,5.2135224665958995e-05
2018,0.0010820324068730488,0.000928050872048807,0.0,0.0,7.074827275708395e-05
2019,0.0014245037231922113,0.0012217858856610117,0.0,0.0,9.314062805487535e-05
2020,0.001852259253909925,0.0015886685139304354,0.0,0.0,0.0001211092589094951
2021,0.0023867234602716744,0.002047074352463782,0.0,0.0,0.00015605499547930178
2022,0.002985113501832415,0.0025603088881101096,0.0,0.0,0.00019518049819673488
2023,0.003667311508279822,0.003145424870563077,0.0,0.0,0.00023978575246444986
2024,0.004427288326546163,0.0037972511416145935,0.0,0.0,0.00028947654442801845
2025,0.005255070184654496,0.004507233273761356,0.0,0.0,0.000343600742842794
2026,0.006119031956899407,0.00524824663995603,0.0,0.0,0.00040009055102803817
2027,0.00703478586151565,0.006033681719684575,0.0,0.0,0.0004599667678683309
2028,0.007956842561021455,0.006824522658106864,0.0,0.0,0.000520255090528326
2029,0.008887737672003359,0.007622944234064419,0.0,0.0,0.0005811213093232966
2030,0.009757951219653518,0.008369319699933592,0.0,0.0,0.0006380198874388839
2031,0.010562607117160875,0.009059466873564903,0.0,0.0,0.0006906320038143649
2032,0.011306262159622523,0.009697294083060855,0.0,0.0,0.0007392556027445496
2033,0.011656918450969257,0.00999804928679286,0.0,0.0,0.0007621831294864514
2034,0.012260612995451899,0.010515833453791434,0.0,0.0,0.0008016554650872394
2035,0.012725687360023458,0.01091472415878935,0.0,0.0,0.0008320641735399954
2036,0.012941877800731388,0.011100149036781151,0.0,0.0,0.0008461997023555139
2037,0.013273423101430594,0.011384512890842392,0.0,0.0,0.0008678776643243082
2038,0.013375895559776621,0.0114724027301161,0.0,0.0,0.0008745777866007792
2039,0.013738845387466258,0.01178370200540375,0.0,0.0,0.0008983091214881786
2040,0.014021230045422698,0.012025901154343311,0.0,0.0,0.0009167727337391763
2041,0.013898996396740287,0.011921062294127245,0.0,0.0,0.0009087805336330188
2042,0.014375935489537969,0.012330129285257565,0.0,0.0,0.0009399650127774827
2043,0.015543834160270342,0.013331826991308792,0.0,0.0,0.0010163276181715225
2044,0.016933764681890742,0.014523959707929364,0.0,0.0,0.00110720769073901
2045,0.018207724579757445,0.015616625312638114,0.0,0.0,0.0011905050686764485
2046,0.01958687654638178,0.016799513345550524,0.0,0.0,0.0012806803895711164
2047,0.021057156562123903,0.018060561205206268,0.0,0.0,0.0013768140829081015
2048,0.022372694370957628,0.019188887864321345,0.0,0.0,0.0014628300165626142
2049,0.023511863124200182,0.020165944141140923,0.0,0.0,0.0015373141273515504
2050,0.024461006641498858,0.020980017234824018,0.0,0.0,0.0015993735111749254
