,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,3.1762163423255755e-09,2.724216324379243e-09,0.0,0.0,2.0767568392128763e-10
1994,3.932589355088284e-11,3.3729516391718734e-11,0.0,0.0,2.571308424480801e-12
1995,6.584924219736639e-09,5.647838850004886e-09,0.0,0.0,4.305527374443187e-10
1996,1.2182525049832815e-09,1.0448858023510452e-09,0.0,0.0,7.96549714796761e-11
1997,1.0392616610169508e-08,8.913667323337693e-09,0.0,0.0,6.795172398956987e-10
1998,2.938044770974587e-08,2.519938399720511e-08,0.0,0.0,1.921029273329538e-09
1999,1.2069435833359774e-06,1.0351862272458574e-06,0.0,0.0,7.891554198735238e-08
2000,4.19491949578988e-07,3.5979501829274736e-07,0.0,0.0,2.7428319780164598e-08
2001,9.376502599987829e-07,8.042154153066483e-07,0.0,0.0,6.130790161530504e-08
2002,6.632415072684682e-07,5.688571389264169e-07,0.0,0.0,4.3365790859861386e-08
2003,2.562088893100468e-06,2.1974839352361706e-06,0.0,0.0,1.675211968565691e-07
2004,4.648820674766797e-06,3.987257732588444e-06,0.0,0.0,3.0396135181167515e-07
2005,6.639494441176486e-06,5.694643309162909e-06,0.0,0.0,4.3412079038461646e-07
2006,2.465846382123062e-05,2.1149374738978567e-05,0.0,0.0,1.6122841729266176e-06
2007,1.7788747983322398e-05,1.5257272308772671e-05,0.0,0.0,1.1631104450633877e-06
2008,2.9581125827607756e-05,2.537150407521742e-05,0.0,0.0,1.934150534882046e-06
2009,5.312015875901496e-05,4.556075155100129e-05,0.0,0.0,3.4732411496279014e-06
2010,7.003092966762818e-05,6.006498967646569e-05,0.0,0.0,4.578945401344919e-06
2011,0.00011383151577129377,9.763241544999426e-05,0.0,0.0,7.4428298773538234e-06
2012,0.00015230191576069978,0.00013062818159475403,0.0,0.0,9.958202184353447e-06
2013,0.00022662386027075276,0.00019437354169376102,0.0,0.0,1.481771394077999e-05
2014,0.0003443810188352635,0.00029537295077024516,0.0,0.0,2.251722046230569e-05
2015,0.00045202472960733574,0.00038769813347090714,0.0,0.0,2.9555463089710415e-05
2016,0.0005893736944306216,0.0005055012840693407,0.0,0.0,3.8535972328156036e-05
2017,0.0007959222506657317,0.0006826563919171468,0.0,0.0,5.204107023583631e-05
2018,0.0010797532117239681,0.0009260960239017112,0.0,0.0,7.059924845887486e-05
2019,0.0014227380162870154,0.0012202714524307862,0.0,0.0,9.302517798799717e-05
2020,0.0018565387199704314,0.001592338979051562,0.0,0.0,0.00012138907015191283
2021,0.002414533079628052,0.002070926449065598,0.0,0.0,0.00015787331674491109
2022,0.0030121982522795052,0.002583539270224345,0.0,0.0,0.00019695142418750612
2023,0.0036663462081415474,0.003144596940059865,0.0,0.0,0.0002397226366861781
2024,0.004447580264507562,0.0038146553807122544,0.0,0.0,0.0002908033249870329
2025,0.00524977755377423,0.004502693824967897,0.0,0.0,0.0003432546862083151
2026,0.0061740946196648,0.0052954734622509625,0.0,0.0,0.0004036908020550062
2027,0.007113684331768303,0.006101352330708967,0.0,0.0,0.0004651255140002352
2028,0.008101181854250416,0.006948321359607087,0.0,0.0,0.0005296926597009887
2029,0.009114587942277772,0.007817511965876704,0.0,0.0,0.0005959538269950851
2030,0.01010508101229472,0.008667050252852778,0.0,0.0,0.0006607168354192702
2031,0.011144385312530357,0.009558453556516421,0.0,0.0,0.0007286713473577543
2032,0.012048226279901424,0.01033367100160776,0.0,0.0,0.0007877686413781701
2033,0.012572945406008843,0.010783718559769123,0.0,0.0,0.0008220771996236551
2034,0.01338049847824176,0.011476350617876583,0.0,0.0,0.0008748787466542688
2035,0.014080602419883454,0.01207682438320773,0.0,0.0,0.0009206547736077642
2036,0.014502951635791028,0.012439070056851534,0.0,0.0,0.0009482699146478749
2037,0.015177281035053591,0.013017437195449809,0.0,0.0,0.0009923606830611964
2038,0.015691695248228603,0.013458646309057607,0.0,0.0,0.0010259954585380242
2039,0.016533615815021375,0.014180755102883715,0.0,0.0,0.0010810441109821668
2040,0.01737961139604044,0.01490635900506545,0.0,0.0,0.0011363592066641825
2041,0.01805511361606146,0.015485732063006557,0.0,0.0,0.001180526659511711
2042,0.019282635400861278,0.016538568055354093,0.0,0.0,0.0012607876992870833
2043,0.02130324712510144,0.01827163118806777,0.0,0.0,0.0013929046197181712
2044,0.02367257295561682,0.020303783727317504,0.0,0.0,0.001547822077867254
2045,0.026072587987132287,0.022362258158194225,0.0,0.0,0.0017047461376201879
2046,0.028684243353447,0.024602254876225697,0.0,0.0,0.0018755082192638424
2047,0.03160914466543424,0.027110920232276285,0.0,0.0,0.002066751766586085
2048,0.034553764443657625,0.029636497965137114,0.0,0.0,0.0022592845982391525
2049,0.037481075633153935,0.032147230254589716,0.0,0.0,0.0024506857144754495
2050,0.040361228795223775,0.034617515466672695,0.0,0.0,0.00263900342122617
