,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.0,0.0,0.0,0.0,0.003358089125957982
1994,0.0,0.0,0.0,0.0,4.3905358659993395e-05
1995,0.0,0.0,0.0,0.0,0.00730233037573977
1996,0.0,0.0,0.0,0.0,0.0013636537362777988
1997,0.0,0.0,0.0,0.0,0.011591162906283333
1998,0.0,0.0,0.0,0.0,0.03275387091663931
1999,0.0,0.0,0.0,0.0,1.3452665046993275
2000,0.0,0.0,0.0,0.0,0.4670639750458237
2001,0.0,0.0,0.0,0.0,1.0485385040594188
2002,0.0,0.0,0.0,0.0,0.7700248338637643
2003,0.0,0.0,0.0,0.0,2.899925265893377
2004,0.0,0.0,0.0,0.0,5.345191704107463
2005,0.0,0.0,0.0,0.0,7.65475166464358
2006,0.0,0.0,0.0,0.0,27.807635565421286
2007,0.0,0.0,0.0,0.0,20.14781557646012
2008,0.0,0.0,0.0,0.0,34.31565251912336
2009,0.0,0.0,0.0,0.0,60.611007665316635
2010,0.0,0.0,0.0,0.0,80.03654819825205
2011,0.0,0.0,0.0,0.0,132.04101531292292
2012,0.0,0.0,0.0,0.0,176.49295254997332
2013,0.0,0.0,0.0,0.0,262.4146154208899
2014,0.0,0.0,0.0,0.0,399.3793475891744
2015,0.0,0.0,0.0,0.0,527.4028712076446
2016,0.0,0.0,0.0,0.0,694.1989883905871
2017,0.0,0.0,0.0,0.0,940.6696807445152
2018,0.0,0.0,0.0,0.0,1272.726469950968
2019,0.0,0.0,0.0,0.0,1679.3351634207886
2020,0.0,0.0,0.0,0.0,2177.992131118656
2021,0.0,0.0,0.0,0.0,2776.006252721912
2022,0.0,0.0,0.0,0.0,3552.207899881079
2023,0.0,0.0,0.0,0.0,4284.481439724059
2024,0.0,0.0,0.0,0.0,5176.060115164942
2025,0.0,0.0,0.0,0.0,6096.01696980435
2026,0.0,0.0,0.0,0.0,7120.697118928578
2027,0.0,0.0,0.0,0.0,8164.871811768393
2028,0.0,0.0,0.0,0.0,9239.799227422642
2029,0.0,0.0,0.0,0.0,10325.913999012932
2030,0.0,0.0,0.0,0.0,11360.115993925141
2031,0.0,0.0,0.0,0.0,12400.863580078336
2032,0.0,0.0,0.0,0.0,13292.24761839372
2033,0.0,0.0,0.0,0.0,13714.513084342692
2034,0.0,0.0,0.0,0.0,14474.561943417642
2035,0.0,0.0,0.0,0.0,15083.200493187971
2036,0.0,0.0,0.0,0.0,15390.336119526006
2037,0.0,0.0,0.0,0.0,15982.47943697827
2038,0.0,0.0,0.0,0.0,16357.10348803165
2039,0.0,0.0,0.0,0.0,17169.857892602384
2040,0.0,0.0,0.0,0.0,18016.154399644678
2041,0.0,0.0,0.0,0.0,18605.511927703472
2042,0.0,0.0,0.0,0.0,19945.74439568762
2043,0.0,0.0,0.0,0.0,22223.86114973664
2044,0.0,0.0,0.0,0.0,24895.785903900185
2045,0.0,0.0,0.0,0.0,27631.142040505438
2046,0.0,0.0,0.0,0.0,30565.997785155392
2047,0.0,0.0,0.0,0.0,33676.09039197159
2048,0.0,0.0,0.0,0.0,36824.762052564925
2049,0.0,0.0,0.0,0.0,40159.54079052149
2050,0.0,0.0,0.0,0.0,43401.43149465441
