,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.0,0.0,0.0,0.0,3.3580891259579823e-09
1994,0.0,0.0,0.0,0.0,4.38587423222866e-11
1995,0.0,0.0,0.0,0.0,7.301938925250283e-09
1996,0.0,0.0,0.0,0.0,1.3621986323002338e-09
1997,0.0,0.0,0.0,0.0,1.1587070331657693e-08
1998,0.0,0.0,0.0,0.0,3.2744450611176666e-08
1999,0.0,0.0,0.0,0.0,1.3452471227263129e-06
2000,0.0,0.0,0.0,0.0,4.6700799648229e-07
2001,0.0,0.0,0.0,0.0,1.0483099304574128e-06
2002,0.0,0.0,0.0,0.0,7.693119459217143e-07
2003,0.0,0.0,0.0,0.0,2.898171528078631e-06
2004,0.0,0.0,0.0,0.0,5.341540421926469e-06
2005,0.0,0.0,0.0,0.0,7.647911712314066e-06
2006,0.0,0.0,0.0,0.0,2.7795666854764853e-05
2007,0.0,0.0,0.0,0.0,2.0127680040141006e-05
2008,0.0,0.0,0.0,0.0,3.428197408833636e-05
2009,0.0,0.0,0.0,0.0,6.055527933415748e-05
2010,0.0,0.0,0.0,0.0,7.994620830522405e-05
2011,0.0,0.0,0.0,0.0,0.00013189793827960228
2012,0.0,0.0,0.0,0.0,0.00017627189695587463
2013,0.0,0.0,0.0,0.0,0.00026208108450995
2014,0.0,0.0,0.0,0.0,0.0003988877631775077
2015,0.0,0.0,0.0,0.0,0.0005266941991923848
2016,0.0,0.0,0.0,0.0,0.0006931969485149464
2017,0.0,0.0,0.0,0.0,0.0009392782074956946
2018,0.0,0.0,0.0,0.0,0.001270829874120301
2019,0.0,0.0,0.0,0.0,0.0016768001900377093
2020,0.0,0.0,0.0,0.0,0.002177132848253754
2021,0.0,0.0,0.0,0.0,0.002794010547323169
2022,0.0,0.0,0.0,0.0,0.0034896165726009793
2023,0.0,0.0,0.0,0.0,0.004280554811241017
2024,0.0,0.0,0.0,0.0,0.0051593382712702435
2025,0.0,0.0,0.0,0.0,0.006113981120803318
2026,0.0,0.0,0.0,0.0,0.007103257780868413
2027,0.0,0.0,0.0,0.0,0.008153580631695311
2028,0.0,0.0,0.0,0.0,0.009208062001751241
2029,0.0,0.0,0.0,0.0,0.01027046538530167
2030,0.0,0.0,0.0,0.0,0.011261047164338057
2031,0.0,0.0,0.0,0.0,0.012172410517241331
2032,0.0,0.0,0.0,0.0,0.013015539351895412
2033,0.0,0.0,0.0,0.0,0.01339265888770581
2034,0.0,0.0,0.0,0.0,0.01409271342970446
2035,0.0,0.0,0.0,0.0,0.014621878324452156
2036,0.0,0.0,0.0,0.0,0.014876406508045656
2037,0.0,0.0,0.0,0.0,0.015289562355854172
2038,0.0,0.0,0.0,0.0,0.015409946077804711
2039,0.0,0.0,0.0,0.0,0.015884686128606343
2040,0.0,0.0,0.0,0.0,0.016285902459249182
2041,0.0,0.0,0.0,0.0,0.016189341774511062
2042,0.0,0.0,0.0,0.0,0.01683460307621809
2043,0.0,0.0,0.0,0.0,0.018277472856070006
2044,0.0,0.0,0.0,0.0,0.019952259047724134
2045,0.0,0.0,0.0,0.0,0.02151303800205412
2046,0.0,0.0,0.0,0.0,0.0231328833045578
2047,0.0,0.0,0.0,0.0,0.02487869562288545
2048,0.0,0.0,0.0,0.0,0.026443470124089888
2049,0.0,0.0,0.0,0.0,0.02780147400466917
2050,0.0,0.0,0.0,0.0,0.028936297891919156
