,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.0,0.0,0.0,0.0,0.0
1994,8.329082872716269e-17,0.0,0.0,0.0,8.245792043989107e-15
1995,6.994164981396638e-16,0.0,0.0,0.0,6.924223331582672e-14
1996,2.5944847127768604e-15,0.0,0.0,0.0,2.5685398656490916e-13
1997,7.267034074877097e-15,0.0,0.0,0.0,7.194363734128325e-13
1998,1.6647586180334445e-14,0.0,0.0,0.0,1.6481110318531101e-12
1999,3.392800242309756e-14,0.0,0.0,0.0,3.358872239886658e-12
2000,9.222070265820212e-14,0.0,0.0,0.0,9.12984956316201e-12
2001,3.5416373912426386e-13,0.0,0.0,0.0,3.506221017330212e-11
2002,1.0768836400060946e-12,0.0,0.0,0.0,1.0661148036060336e-10
2003,2.6155241642531327e-12,0.0,0.0,0.0,2.589368922610601e-10
2004,5.395288481054348e-12,0.0,0.0,0.0,5.341335596243805e-10
2005,1.0000185181116662e-11,0.0,0.0,0.0,9.900183329305496e-10
2006,1.7257901049192567e-11,0.0,0.0,0.0,1.708532203870064e-09
2007,2.8480368950824424e-11,0.0,0.0,0.0,2.8195565261316177e-09
2008,4.633961090875242e-11,0.0,0.0,0.0,4.587621479966489e-09
2009,7.453657343420087e-11,0.0,0.0,0.0,7.379120769985886e-09
2010,1.1778873574005623e-10,0.0,0.0,0.0,1.1661084838265565e-08
2011,1.82726940294593e-10,0.0,0.0,0.0,1.8089967089164705e-08
2012,2.782293992546717e-10,0.0,0.0,0.0,2.7544710526212498e-08
2013,4.1540102509717454e-10,0.0,0.0,0.0,4.112470148462027e-08
2014,6.080155767111324e-10,0.0,0.0,0.0,6.01935420944021e-08
2015,8.733566313524e-10,0.0,0.0,0.0,8.646230650388759e-08
2016,1.2328439576609035e-09,0.0,0.0,0.0,1.2205155180842942e-07
2017,1.712715021963134e-09,0.0,0.0,0.0,1.6955878717435028e-07
2018,2.3408013161096973e-09,0.0,0.0,0.0,2.3173933029486004e-07
2019,3.14419977278392e-09,0.0,0.0,0.0,3.112757775056081e-07
2020,4.1495400988367936e-09,0.0,0.0,0.0,4.108044697848426e-07
2021,5.3789263071125326e-09,0.0,0.0,0.0,5.325137044041407e-07
2022,6.847900494750691e-09,0.0,0.0,0.0,6.779421489803185e-07
2023,8.571601463278092e-09,0.0,0.0,0.0,8.48588544864531e-07
2024,1.0560181435297373e-08,0.0,0.0,0.0,1.04545796209444e-06
2025,1.2816641272794327e-08,0.0,0.0,0.0,1.2688474860066383e-06
2026,1.5268501519794264e-08,0.0,0.0,0.0,1.5115816504596323e-06
2027,1.8030431979689743e-08,0.0,0.0,0.0,1.7850127659892842e-06
2028,2.098899740596622e-08,0.0,0.0,0.0,2.077910743190656e-06
2029,2.4169699710766374e-08,0.0,0.0,0.0,2.392800271365871e-06
2030,2.7426511030100435e-08,0.0,0.0,0.0,2.715224591979943e-06
2031,3.0744759638002045e-08,0.0,0.0,0.0,3.043731204162202e-06
2032,3.4118543040461823e-08,0.0,0.0,0.0,3.3777357610057203e-06
2033,3.690732649444314e-08,0.0,0.0,0.0,3.6538253229498706e-06
2034,4.025449663326546e-08,0.0,0.0,0.0,3.98519516669328e-06
2035,4.362496375893939e-08,0.0,0.0,0.0,4.318871412135e-06
2036,4.653675305919228e-08,0.0,0.0,0.0,4.607138552860036e-06
2037,4.9783959350827787e-08,0.0,0.0,0.0,4.9286119757319504e-06
2038,5.322996786886699e-08,0.0,0.0,0.0,5.269766819017832e-06
2039,5.698413014976984e-08,0.0,0.0,0.0,5.641428884827214e-06
2040,6.083328140880092e-08,0.0,0.0,0.0,6.0224948594712904e-06
2041,6.490799960576767e-08,0.0,0.0,0.0,6.425891960970999e-06
2042,6.927533227929467e-08,0.0,0.0,0.0,6.858257895650171e-06
2043,7.599652937307936e-08,0.0,0.0,0.0,7.5236564079348554e-06
2044,8.378150839818707e-08,0.0,0.0,0.0,8.29436933142052e-06
2045,9.094393286284e-08,0.0,0.0,0.0,9.003449353421158e-06
2046,1.0073253395678444e-07,0.0,0.0,0.0,9.972520861721659e-06
2047,1.1102231942888029e-07,0.0,0.0,0.0,1.0991209623459148e-05
2048,1.2136699508119693e-07,0.0,0.0,0.0,1.2015332513038497e-05
2049,1.3164863996058232e-07,0.0,0.0,0.0,1.3033215356097649e-05
2050,1.4172645369498374e-07,0.0,0.0,0.0,1.4030918915803389e-05
