,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.0,1.2678040644548212e-11,0.0,2.0466792071916398e-12,4.212748034802792e-11
1994,0.0,9.676916209325746e-13,0.0,1.5621927512812866e-13,3.215513413053981e-12
1995,0.0,3.2678660998909724e-11,0.0,5.2754789056535875e-12,1.0858694080803633e-10
1996,0.0,2.9842755779219296e-11,0.0,4.817664610098183e-12,9.916359655785425e-11
1997,0.0,1.0943755560620821e-10,0.0,1.7667049335531374e-11,3.636467654896874e-10
1998,0.0,2.694423351119345e-10,0.0,4.3497417327487196e-11,8.95321839990778e-10
1999,0.0,5.0348976772763706e-09,0.0,8.128085936410284e-10,1.673031021911117e-08
2000,0.0,2.435779647495332e-09,0.0,3.9322003277951555e-10,8.093779008045027e-09
2001,0.0,6.50319564825557e-09,0.0,1.0498432436645765e-09,2.1609273432095865e-08
2002,0.0,1.1197717184874822e-08,0.0,1.807703222670375e-09,3.720855799996521e-08
2003,0.0,3.073673795498205e-08,0.0,4.961984602597999e-09,1.0213418307014213e-07
2004,0.0,6.062838742838552e-08,0.0,9.787542365120533e-09,2.0146024701539758e-07
2005,0.0,1.0433194567427257e-07,0.0,1.6842825310644898e-08,3.4668148764410744e-07
2006,0.0,2.2981159086738822e-07,0.0,3.709962901895057e-08,7.636340306400657e-07
2007,0.0,2.878255654923115e-07,0.0,4.646511371176329e-08,9.56406923900461e-07
2008,0.0,4.799077509656423e-07,0.0,7.747389701687501e-08,1.594671046930677e-06
2009,0.0,7.843450717413027e-07,0.0,1.2662072907034482e-07,2.6062766733645976e-06
2010,0.0,1.1774603613583566e-06,0.0,1.9008328703542975e-07,3.912547658145929e-06
2011,0.0,1.8646401783974047e-06,0.0,3.010181453915093e-07,6.195956825975232e-06
2012,0.0,2.7193586568263142e-06,0.0,4.389996037925889e-07,9.03607517806412e-06
2013,0.0,4.0174814859448065e-06,0.0,6.485620336054396e-07,1.3349568525045298e-05
2014,0.0,5.885085390602214e-06,0.0,9.500586280792812e-07,1.9555373427965204e-05
2015,0.0,8.189796305945995e-06,0.0,1.322119583022672e-06,2.721362808388333e-05
2016,0.0,1.125728697942261e-05,0.0,1.8173198711175514e-06,3.740650068050293e-05
2017,0.0,1.5358090119106565e-05,0.0,2.4793329340261724e-06,5.103293622537204e-05
2018,0.0,2.062221221934261e-05,0.0,3.3291463672481347e-06,6.85249293925241e-05
2019,0.0,2.7187651362802185e-05,0.0,4.389037888165376e-06,9.03410298647373e-05
2020,0.0,3.5154624606074845e-05,0.0,5.6751860350614105e-06,0.00011681424588834736
2021,0.0,4.467364673034244e-05,0.0,7.211889158261561e-06,0.00014844471850755043
2022,0.0,5.562360121113002e-05,0.0,8.979594814352829e-06,0.00018482999326209572
2023,0.0,6.801644454808317e-05,0.0,1.0980233200587418e-05,0.00022600980004542433
2024,0.0,8.171795774399814e-05,0.0,1.3192136676161135e-05,0.00027153814658431667
2025,0.0,9.652238507303298e-05,0.0,1.5582089070086045e-05,0.000320731333359271
2026,0.0,0.00011154489777227617,0.0,1.800724807086073e-05,0.00037064918945855
2027,0.0,0.00012763003006959828,0.0,2.0603951042625734e-05,0.0004240979922940463
2028,0.0,0.00014363941098432335,0.0,2.318842509163965e-05,0.0004772950831362493
2029,0.0,0.00015968479755049258,0.0,2.5778711712187146e-05,0.000530611816075852
2030,0.0,0.00017439794866655196,0.0,2.815392893271691e-05,0.0005795017038650896
2031,0.0,0.00018779931016705553,0.0,3.0317377426071748e-05,0.0006240326853533101
2032,0.0,0.00019992598805507915,0.0,3.227504739902624e-05,0.0006643280589632899
2033,0.0,0.00020421693525285933,0.0,3.29677563636903e-05,0.0006785863184859586
2034,0.0,0.00021393219890688834,0.0,3.453613973384745e-05,0.0007108688761883598
2035,0.0,0.00022069038356254243,0.0,3.562714712220416e-05,0.0007333254449320356
2036,0.0,0.0002231842435352401,0.0,3.602974335098047e-05,0.0007416122173076812
2037,0.0,0.00022825890975341841,0.0,3.684897197813033e-05,0.0007584746732165158
2038,0.0,0.00022837505042998482,0.0,3.686772114564778e-05,0.00075886059358125
2039,0.0,0.00023369413309097441,0.0,3.772640713576269e-05,0.0007765352135444487
2040,0.0,0.0002378573907528993,0.0,3.839850254306895e-05,0.0007903691773448358
2041,0.0,0.00023538105571483203,0.0,3.7998735451721764e-05,0.0007821406380479395
2042,0.0,0.0002437418996796905,0.0,3.934846810972583e-05,0.0008099226352585232
2043,0.0,0.00026394675434446475,0.0,4.261023836951002e-05,0.0008770607397724143
2044,0.0,0.00028770871646827085,0.0,4.644625019218722e-05,0.0009560186497891869
2045,0.0,0.00030992780480163624,0.0,5.0033188219098226e-05,0.0010298497908431052
2046,0.0,0.00033237036798220565,0.0,5.365620290295698e-05,0.001104423509752531
2047,0.0,0.0003570769675386506,0.0,5.764471224839203e-05,0.001186520327112736
2048,0.0,0.00037910446779359277,0.0,6.120072125815849e-05,0.0012597148458970953
2049,0.0,0.0003980913654466994,0.0,6.426587065507254e-05,0.0013228058376502433
2050,0.0,0.0004138142041306254,0.0,6.680408676548213e-05,0.0013750507859228405
