,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.0,0.0,0.0,0.0,0.0
1994,4.997449723629762e-16,0.0,0.0,0.0,4.947475226393465e-14
1995,4.196498988837984e-15,0.0,0.0,0.0,4.154533998949604e-13
1996,1.5566908276661167e-14,0.0,0.0,0.0,1.5411239193894553e-12
1997,4.3602204449262577e-14,0.0,0.0,0.0,4.316618240476995e-12
1998,9.988551708200668e-14,0.0,0.0,0.0,9.88866619111866e-12
1999,2.0356801453858536e-13,0.0,0.0,0.0,2.0153233439319948e-11
2000,5.533242159492125e-13,0.0,0.0,0.0,5.4779097378972034e-11
2001,2.124879406821546e-12,0.0,0.0,0.0,2.1036306127533303e-10
2002,6.460635511976527e-12,0.0,0.0,0.0,6.396029156856763e-10
2003,1.5688363176272006e-11,0.0,0.0,0.0,1.5531479544509281e-09
2004,3.2362290814717304e-11,0.0,0.0,0.0,3.203866790657013e-09
2005,6.003217285157448e-11,0.0,0.0,0.0,5.943185112305872e-09
2006,1.0377802556862925e-10,0.0,0.0,0.0,1.0274024531294297e-08
2007,1.7164893139873014e-10,0.0,0.0,0.0,1.6993244208474284e-08
2008,2.8002814607065303e-10,0.0,0.0,0.0,2.7722786460994648e-08
2009,4.510473024640358e-10,0.0,0.0,0.0,4.465368294393955e-08
2010,7.127550257975933e-10,0.0,0.0,0.0,7.056274755396173e-08
2011,1.1037224655133846e-09,0.0,0.0,0.0,1.0926852408582509e-07
2012,1.6749719161861561e-09,0.0,0.0,0.0,1.6582221970242946e-07
2013,2.490063282146091e-09,0.0,0.0,0.0,2.4651626493246296e-07
2014,3.6263563055643066e-09,0.0,0.0,0.0,3.590092742508664e-07
2015,5.179607445608771e-09,0.0,0.0,0.0,5.127811371152683e-07
2016,7.270858506997797e-09,0.0,0.0,0.0,7.198149921927819e-07
2017,1.0064310613023642e-08,0.0,0.0,0.0,9.963667506893406e-07
2018,1.3742991360986518e-08,0.0,0.0,0.0,1.3605561447376652e-06
2019,1.849648107292735e-08,0.0,0.0,0.0,1.8311516262198076e-06
2020,2.45340710917553e-08,0.0,0.0,0.0,2.4288730380837745e-06
2021,3.204331859706266e-08,0.0,0.0,0.0,3.1722885411092032e-06
2022,4.1175489323970955e-08,0.0,0.0,0.0,4.076373443073125e-06
2023,5.20730036071887e-08,0.0,0.0,0.0,5.1552273571116815e-06
2024,6.484158664813996e-08,0.0,0.0,0.0,6.419317078165856e-06
2025,7.955511544085556e-08,0.0,0.0,0.0,7.8759564286447e-06
2026,9.584105275998886e-08,0.0,0.0,0.0,9.488264223238896e-06
2027,1.1447614414318372e-07,0.0,0.0,0.0,1.133313827017519e-05
2028,1.3488145350874038e-07,0.0,0.0,0.0,1.3353263897365297e-05
2029,1.5732127944429963e-07,0.0,0.0,0.0,1.5574806664985663e-05
2030,1.8102490780313372e-07,0.0,0.0,0.0,1.7921465872510237e-05
2031,2.060546917221526e-07,0.0,0.0,0.0,2.0399414480493105e-05
2032,2.3247266598159784e-07,0.0,0.0,0.0,2.3014793932178186e-05
2033,2.563983105267102e-07,0.0,0.0,0.0,2.538343274214431e-05
2034,2.849868109344659e-07,0.0,0.0,0.0,2.8213694282512123e-05
2035,3.142322201697287e-07,0.0,0.0,0.0,3.1108989796803134e-05
2036,3.416181115984555e-07,0.0,0.0,0.0,3.382019304824709e-05
2037,3.7105274853342074e-07,0.0,0.0,0.0,3.673422210480865e-05
2038,4.010698774701302e-07,0.0,0.0,0.0,3.9705917869542884e-05
2039,4.330259000158027e-07,0.0,0.0,0.0,4.2869564101564456e-05
2040,4.646960311624749e-07,0.0,0.0,0.0,4.600490708508502e-05
2041,4.949886088542908e-07,0.0,0.0,0.0,4.900387227657479e-05
2042,5.183044341516044e-07,0.0,0.0,0.0,5.131213898100883e-05
2043,5.595182420790261e-07,0.0,0.0,0.0,5.539230596582357e-05
2044,6.03600422799603e-07,0.0,0.0,0.0,5.9756441857160705e-05
2045,6.352782932973017e-07,0.0,0.0,0.0,6.289255103643287e-05
2046,6.893954923646346e-07,0.0,0.0,0.0,6.825015374409882e-05
2047,7.410262287860211e-07,0.0,0.0,0.0,7.336159664981608e-05
2048,7.871733297809402e-07,0.0,0.0,0.0,7.793015964831308e-05
2049,8.270786675726242e-07,0.0,0.0,0.0,8.18807880896898e-05
2050,8.602665937239016e-07,0.0,0.0,0.0,8.516639277866624e-05
