,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.0,0.0,0.0,4.039117180727737e-11,6.185186456034465e-10
1994,0.0,0.0,0.0,4.778916963687386e-13,7.318057673431239e-12
1995,0.0,0.0,0.0,8.208517920875879e-11,1.256987891080944e-09
1996,0.0,0.0,0.0,1.478983130362052e-11,2.2647984738513185e-10
1997,0.0,0.0,0.0,1.284197872716053e-10,1.9665196461966697e-09
1998,0.0,0.0,0.0,3.63807087304285e-10,5.571055674592697e-09
1999,0.0,0.0,0.0,1.504899379693044e-08,2.3044845802901474e-07
2000,0.0,0.0,0.0,5.227141831606711e-09,8.004433992380456e-08
2001,0.0,0.0,0.0,1.1456540072491063e-08,1.7543644642817882e-07
2002,0.0,0.0,0.0,8.005880831599887e-09,1.2259576405583709e-07
2003,0.0,0.0,0.0,3.1467466383984264e-08,4.818680374330511e-07
2004,0.0,0.0,0.0,5.6653925028388764e-08,8.675536610790952e-07
2005,0.0,0.0,0.0,7.93918819608999e-08,1.2157448547585112e-06
2006,0.0,0.0,0.0,2.994552310393423e-07,4.585621947416486e-06
2007,0.0,0.0,0.0,1.9407237920296722e-07,2.971871816604002e-06
2008,0.0,0.0,0.0,3.576879658492873e-07,5.477352260077096e-06
2009,0.0,0.0,0.0,6.097133651711873e-07,9.336671058502344e-06
2010,0.0,0.0,0.0,7.63946830915631e-07,1.1698481079616684e-05
2011,0.0,0.0,0.0,1.3360496490321214e-06,2.0459213793579972e-05
2012,0.0,0.0,0.0,1.6807490530403588e-06,2.573766943048915e-05
2013,0.0,0.0,0.0,2.4705121847341832e-06,3.78314810409458e-05
2014,0.0,0.0,0.0,3.829013038063366e-06,5.8634494923818625e-05
2015,0.0,0.0,0.0,5.00233346496139e-06,7.660180136312001e-05
2016,0.0,0.0,0.0,6.412976006204219e-06,9.820327205585482e-05
2017,0.0,0.0,0.0,8.625821005745394e-06,0.00013208904042566396
2018,0.0,0.0,0.0,1.1574842920165853e-05,0.0001772480432163081
2019,0.0,0.0,0.0,1.5061255614109622e-05,0.00023063622585586788
2020,0.0,0.0,0.0,1.9435581728467236e-05,0.00029762121645207493
2021,0.0,0.0,0.0,2.5035113430158787e-05,0.0003833680420373581
2022,0.0,0.0,0.0,3.0935340899206705e-05,0.00047371948616778685
2023,0.0,0.0,0.0,3.729909091146417e-05,0.0005711689500585875
2024,0.0,0.0,0.0,4.487796982640324e-05,0.0006872259425129643
2025,0.0,0.0,0.0,5.251594314855965e-05,0.0008041878602537185
2026,0.0,0.0,0.0,6.128588075558338e-05,0.0009384837889929219
2027,0.0,0.0,0.0,7.009533718322376e-05,0.0010733848778775228
2028,0.0,0.0,0.0,7.929067183275893e-05,0.0012141950024373706
2029,0.0,0.0,0.0,8.868358741999762e-05,0.001358030726119931
2030,0.0,0.0,0.0,9.773960508235973e-05,0.0014967074598827255
2031,0.0,0.0,0.0,0.0001073202549875003,0.001643417999294723
2032,0.0,0.0,0.0,0.00011546584503309894,0.001768153160400815
2033,0.0,0.0,0.0,0.00011934782870487133,0.0018275988059586088
2034,0.0,0.0,0.0,0.0001270143501254291,0.0019449978868309999
2035,0.0,0.0,0.0,0.00013303396146409656,0.0020371774816696155
2036,0.0,0.0,0.0,0.0001365253407129476,0.002090641718225839
2037,0.0,0.0,0.0,0.00014319556984079745,0.0021927843623092426
2038,0.0,0.0,0.0,0.00014702032205864387,0.0022513536103825286
2039,0.0,0.0,0.0,0.0001554831547369039,0.002380946775718298
2040,0.0,0.0,0.0,0.00016441948885385495,0.0025177907697734687
2041,0.0,0.0,0.0,0.00017014561372698765,0.002605476143646383
2042,0.0,0.0,0.0,0.00018126979332402517,0.002775823083087478
2043,0.0,0.0,0.0,0.00020096269921893607,0.0030773847594912766
2044,0.0,0.0,0.0,0.00022300160800638817,0.0034148712795366485
2045,0.0,0.0,0.0,0.00024516310549380484,0.0037542350265421637
2046,0.0,0.0,0.0,0.0002693515388023229,0.004124637674938669
2047,0.0,0.0,0.0,0.00029674287405349577,0.004544087045253124
2048,0.0,0.0,0.0,0.0003243125356971551,0.004966267165724625
2049,0.0,0.0,0.0,0.0003517076846274028,0.005385774935721746
2050,0.0,0.0,0.0,0.00037866611260721424,0.005798595104476216
