,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.004261982858582499,0.0035374457726234736,0.0002458836264566826,0.0,0.00015080862422676533
1994,0.0002854211674902846,0.0002368995690169362,1.646660581674719e-05,0.0,1.009951823427161e-05
1995,0.010726245922031485,0.008902784115286132,0.000618821880117201,0.0,0.0003795440864718833
1996,0.00880710704527045,0.007309898847574473,0.0005081023295348336,0.0,0.0003116360954480313
1997,0.03354330222987029,0.027840940850792337,0.0019351905132617472,0.0,0.0011869168481338716
1998,0.0834121614504951,0.06923209400391092,0.004812240083682409,0.0,0.002951507251325211
1999,1.6944747913223739,1.4064140767975701,0.09775816103782925,0.0,0.059958338769868606
2000,0.7869362384249999,0.6531570778927499,0.0454001676014423,0.0,0.02784543612888461
2001,2.0744300668841182,1.721776955513818,0.11967865770485298,0.0,0.07340291005897649
2002,3.381740055665195,2.8068442462021115,0.19510038782683814,0.0,0.11966157120046073
2003,9.432257452676362,7.82877368572138,0.544168699192867,0.0,0.3337568021716251
2004,18.54919349119682,15.395830597693362,1.0701457783382782,0.0,0.6563560773808106
2005,31.685169484133823,26.29869067183107,1.8279905471615665,0.0,1.1211675355924275
2006,71.92828637507512,59.700477691312344,4.1497088293312565,0.0,2.545154748656504
2007,87.88479265986116,72.94437790768477,5.070276499607375,0.0,3.1097695864258563
2008,145.57907055413236,120.83062855992983,8.398792531969173,0.0,5.15125941960776
2009,239.66075035868886,198.91842279771174,13.826581751462818,0.0,8.480303474230528
2010,357.85145593260233,297.0167084240599,20.645276303803982,0.0,12.662436132999774
2011,562.8198683981593,467.1404907704722,32.47037702297072,0.0,19.915164574088713
2012,816.7801962744279,677.927562907775,47.121934400447756,0.0,28.901453098941293
2013,1202.413526375837,998.0032268919447,69.37001113706752,0.0,42.546940164068076
2014,1755.0378098850772,1456.681382204614,101.25218133952369,0.0,62.10133788824119
2015,2425.3765607719183,2013.062545440692,139.9255708137645,0.0,85.82101676577557
2016,3307.695308507434,2745.3871060611705,190.8285754908135,0.0,117.04152630103228
2017,4487.148536897026,3724.3332856245315,258.8739540517515,0.0,158.77602515174092
2018,6002.4647777732125,4982.045765551766,346.2960448715315,0.0,212.39490752120597
2019,7875.205424570588,6536.420502393587,454.33877449445697,0.0,278.6611150232669
2020,10141.02470570966,8417.050505739018,585.0591176370958,0.0,358.83625881741875
2021,12822.572768787322,10642.735398093477,739.763813583884,0.0,453.72180566478215
2022,16011.144828039092,13289.250207272446,923.7198939253323,0.0,566.5482016075371
2023,19421.805832386188,16120.098840880535,1120.48879802228,0.0,687.233129453665
2024,23274.004100929884,19317.4234037718,1342.731005822878,0.0,823.5416835713651
2025,27367.716668741876,22715.204835055756,1578.9067308889541,0.0,968.3961282785586
2026,31596.513716140613,26225.106384396706,1822.8757913158045,0.0,1118.0304853403602
2027,36080.64357807821,29946.934169804917,2081.575591042974,0.0,1276.6996958396905
2028,40579.285224904226,33680.8067366705,2341.1126091290894,0.0,1435.8824002658416
2029,45111.41083045451,37442.47098927724,2602.581394064683,0.0,1596.2499216930057
2030,49299.01336895929,40918.18109623621,2844.1738482091896,0.0,1744.4266269016364
2031,53240.22531407306,44189.38701068064,3071.551460427292,0.0,1883.8848957287391
2032,56757.26013879368,47108.525915198756,3274.4573156996353,0.0,2008.3338202957764
2033,57990.73916868273,48132.313510006665,3345.6195674240034,0.0,2051.980001353389
2034,61041.37075531765,50664.33772691365,3521.617543576018,0.0,2159.925426726624
2035,63388.98359483377,52612.856383712024,3657.0567458557944,0.0,2242.994804124887
2036,64534.27993297372,53563.452344368176,3723.131534594637,0.0,2283.5206745513774
2037,66896.22443984829,55523.86628507408,3859.3975638374013,0.0,2367.0971724869396
2038,67940.85907946667,56390.91303595733,3919.664946892308,0.0,2404.0611674272823
2039,71178.12288851858,59077.84199747042,4106.430166645303,0.0,2518.610502209119
2040,74730.22989844043,62026.09081570556,4311.359417217717,0.0,2644.3004425602
2041,76616.63836979629,63591.80984693092,4420.190675180555,0.0,2711.0502807774074
2042,81858.42717409192,67942.49455449628,4722.601567736072,0.0,2896.528961544791
2043,91626.67078619194,76050.1367525393,5286.154083818765,0.0,3242.174504742176
2044,102764.6325580267,85294.64502316216,5928.728801424617,0.0,3636.2869982070983
2045,114206.01542086617,94790.99279931892,6588.808581973048,0.0,4041.135930276803
2046,126157.99165411676,104711.13307291691,7278.34567235289,0.0,4464.052012376439
2047,138832.7849407189,115231.2115007967,8009.583746579937,0.0,4912.544697902362
2048,151622.46975888603,125846.6498998754,8747.45017839727,0.0,5365.10277608366
2049,165157.16573910584,137080.44756345786,9528.298023409952,0.0,5844.022787691437
2050,178249.04226795465,147946.70508240236,10283.598592381999,0.0,6307.2738033276255
