,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.0,0.0,0.0,0.0,0.003711273767331041
1994,0.0,0.0,0.0,0.0,4.3910261500239e-05
1995,0.0,0.0,0.0,0.0,0.007984452531184072
1996,0.0,0.0,0.0,0.0,0.0013638061211378612
1997,0.0,0.0,0.0,0.0,0.012355079091019107
1998,0.0,0.0,0.0,0.0,0.03516897248362414
1999,0.0,0.0,0.0,0.0,1.4833839912253177
2000,0.0,0.0,0.0,0.0,0.5129438377546363
2001,0.0,0.0,0.0,0.0,1.1491313874240896
2002,0.0,0.0,0.0,0.0,0.7964477104684526
2003,0.0,0.0,0.0,0.0,3.1063225291048275
2004,0.0,0.0,0.0,0.0,5.711380241133841
2005,0.0,0.0,0.0,0.0,8.033229492550488
2006,0.0,0.0,0.0,0.0,30.943286105125026
2007,0.0,0.0,0.0,0.0,21.05317435196178
2008,0.0,0.0,0.0,0.0,36.12030725368774
2009,0.0,0.0,0.0,0.0,64.712079161054
2010,0.0,0.0,0.0,0.0,83.32206282932086
2011,0.0,0.0,0.0,0.0,139.10593747797012
2012,0.0,0.0,0.0,0.0,181.73184763098567
2013,0.0,0.0,0.0,0.0,270.4182146529714
2014,0.0,0.0,0.0,0.0,416.1683569878925
2015,0.0,0.0,0.0,0.0,540.3004331093998
2016,0.0,0.0,0.0,0.0,699.7696879157063
2017,0.0,0.0,0.0,0.0,944.0800061870281
2018,0.0,0.0,0.0,0.0,1277.967229985879
2019,0.0,0.0,0.0,0.0,1683.7288644815762
2020,0.0,654.5490656014844,0.0,0.0,1527.2811530701301
2021,0.0,840.0635664122443,0.0,0.0,1960.1483216285699
2022,0.0,1049.324947978,0.0,0.0,2448.4248786153335
2023,0.0,1287.06370805409,0.0,0.0,3003.14865212621
2024,0.0,1550.747999077896,0.0,0.0,3618.411997848424
2025,0.0,1836.3623617614205,0.0,0.0,4284.845510776648
2026,0.0,2133.9198666879306,0.0,0.0,4979.146355605171
2027,0.0,2444.859995848937,0.0,0.0,5704.673323647519
2028,0.0,2754.2276155461477,0.0,0.0,6426.531102941011
2029,0.0,3062.3871678230303,0.0,0.0,7145.5700582537365
2030,0.0,3344.7036423838344,0.0,0.0,7804.308498895613
2031,0.0,3598.003334033611,0.0,0.0,8395.34111274509
2032,0.0,3824.9432721832427,0.0,0.0,8924.867635094233
2033,0.0,3905.396898883182,0.0,0.0,9112.592764060759
2034,0.0,4076.37770000082,0.0,0.0,9511.547966668579
2035,0.0,4189.321162256441,0.0,0.0,9775.082711931696
2036,0.0,4213.046287778987,0.0,0.0,9830.44133815097
2037,0.0,4279.290558989969,0.0,0.0,9985.011304309928
2038,0.0,4253.156839283501,0.0,0.0,9924.032624994836
2039,0.0,4330.967419595583,0.0,0.0,10105.590645723027
2040,0.0,4386.099468986602,0.0,0.0,10234.232094302071
2041,0.0,4288.982168973136,0.0,0.0,10007.625060937318
2042,0.0,4422.911335230285,0.0,0.0,10320.126448870664
2043,0.0,4802.786490648083,0.0,0.0,11206.501811512193
2044,0.0,5260.169490431043,0.0,0.0,12273.728811005769
2045,0.0,5692.091632971363,0.0,0.0,13281.547143599846
2046,0.0,6152.594116352165,0.0,0.0,14356.05293815505
2047,0.0,6602.805435315522,0.0,0.0,15406.546015736218
2048,0.0,7073.828474909872,0.0,0.0,16505.5997747897
2049,0.0,7487.134971336744,0.0,0.0,17469.981599785733
2050,0.0,7835.217419050304,0.0,0.0,18282.17397778404
