,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,1.441094942478914e-10,1.537167938644175e-10,0.0,0.0,4.529155533505159e-11
1994,3.1278130086241038e-12,3.336333875865711e-12,0.0,0.0,9.830269455675755e-13
1995,3.055734706833748e-10,3.259450353955998e-10,0.0,0.0,9.603737650048923e-11
1996,9.662456972244986e-11,1.0306620770394652e-10,0.0,0.0,3.036772191276996e-11
1997,5.793314894282788e-10,6.179535887234975e-10,0.0,0.0,1.8207561096317336e-10
1998,1.5704431930148427e-09,1.675139405882499e-09,0.0,0.0,4.935678606618077e-10
1999,5.431622389332065e-08,5.793730548620869e-08,0.0,0.0,1.707081322361506e-08
2000,2.0044401327021676e-08,2.1380694748823123e-08,0.0,0.0,6.299668988492528e-09
2001,4.731428572341125e-08,5.046857143830534e-08,0.0,0.0,1.487020408450068e-08
2002,4.374030820371498e-08,4.665632875062931e-08,0.0,0.0,1.374695400688185e-08
2003,1.4849623324147608e-07,1.5839598212424112e-07,0.0,0.0,4.6670244733035334e-08
2004,2.766314803883812e-07,2.9507357908093995e-07,0.0,0.0,8.694132240777695e-08
2005,4.2912039754672533e-07,4.5772842404984033e-07,0.0,0.0,1.3486641065754224e-07
2006,1.3426642452610866e-06,1.432175194945159e-06,0.0,0.0,4.219801913677701e-07
2007,1.2462579023422013e-06,1.3293417624983484e-06,0.0,0.0,3.9168105502183475e-07
2008,1.9202760455019986e-06,2.0482944485354656e-06,0.0,0.0,6.035153285863425e-07
2009,3.4742059702723588e-06,3.7058197016238503e-06,0.0,0.0,1.0918933049427415e-06
2010,4.925059537574466e-06,5.2533968400794305e-06,0.0,0.0,1.5478758546662608e-06
2011,7.52768076509902e-06,8.029526149438954e-06,0.0,0.0,2.3658425261739778e-06
2012,1.0776171804608791e-05,1.1494583258249378e-05,0.0,0.0,3.3867968528770488e-06
2013,1.6058724603318612e-05,1.7129306243539853e-05,0.0,0.0,5.047027732471564e-06
2014,2.3702752320890787e-05,2.5282935808950177e-05,0.0,0.0,7.449436443708534e-06
2015,3.1435459773086356e-05,3.353115709129212e-05,0.0,0.0,9.879715928684285e-06
2016,4.210435667603521e-05,4.491131378777089e-05,0.0,0.0,1.323279781246821e-05
2017,5.6926189126491794e-05,6.072126840159125e-05,0.0,0.0,1.7891088011183135e-05
2018,7.697263899845415e-05,8.210414826501776e-05,0.0,0.0,2.4191400828085586e-05
2019,0.000102066471751014,0.00010887090320108159,0.0,0.0,3.207803397889011e-05
2020,0.00016765594080449435,0.00010692020375833789,0.0,0.0,4.175581921923255e-05
2021,0.0002163142356099931,0.00013795134270976918,0.0,0.0,5.387448886890395e-05
2022,0.0002701088680438125,0.0001722581082996389,0.0,0.0,6.727239732411935e-05
2023,0.0003298264687516762,0.00021034216309069159,0.0,0.0,8.21454601419269e-05
2024,0.0003989551770845361,0.0002544280185935343,0.0,0.0,9.93624214625637e-05
2025,0.0004714102413814996,0.0003006352105414092,0.0,0.0,0.00011740783370256217
2026,0.0005508162645336444,0.0003512752781365506,0.0,0.0,0.00013718442814800202
2027,0.0006329972859586537,0.00040368506161136774,0.0,0.0,0.00015765215423875904
2028,0.0007173516532047206,0.0004574808656286708,0.0,0.0,0.00017866116645853417
2029,0.0008026994345042838,0.0005119102054008451,0.0,0.0,0.00019991759500861405
2030,0.0008836502615406572,0.0005635354498127209,0.0,0.0,0.00022007893306295615
2031,0.0009638406062314553,0.0006146757073702488,0.0,0.0,0.00024005086796707943
2032,0.001033088773363021,0.0006588377460315114,0.0,0.0,0.0002572975812904128
2033,0.0010663715795018018,0.0006800633846634131,0.0,0.0,0.0002655868839513922
2034,0.0011216461932299746,0.0007153139873806254,0.0,0.0,0.00027935339152142767
2035,0.0011675027171651853,0.0007445583366072311,0.0,0.0,0.00029077426163359325
2036,0.0011862206446806689,0.0007564954300038981,0.0,0.0,0.0002954360850902797
2037,0.0012216024728353568,0.0007790596902233028,0.0,0.0,0.00030424816304578696
2038,0.0012423144201129928,0.0007922684415060218,0.0,0.0,0.00030940661029229253
2039,0.0012868290819588995,0.0008206570371737886,0.0,0.0,0.0003204932807897636
2040,0.001329100414601824,0.0008476149813875782,0.0,0.0,0.00033102123533479384
2041,0.0013551499486238855,0.0008642277030846665,0.0,0.0,0.00033750904380821297
2042,0.0014373869109898273,0.0009166731621029463,0.0,0.0,0.0003579907023597306
2043,0.001584696960559228,0.0010106180616396585,0.0,0.0,0.000394679243007204
2044,0.0017627038875783277,0.0011241394603801408,0.0,0.0,0.00043901304369875336
2045,0.0019469772814248913,0.0012416572096634211,0.0,0.0,0.0004849075493360107
2046,0.002137781983026399,0.0013633402080432504,0.0,0.0,0.0005324287203009146
2047,0.002354983155419426,0.0015018571821354073,0.0,0.0,0.0005865241066327627
2048,0.0025733857896503786,0.0016411403715128829,0.0,0.0,0.0006409187249695283
2049,0.0027903115703839603,0.0017794817184712802,0.0,0.0,0.0006949455231899675
2050,0.003003336870339092,0.0019153355890087036,0.0,0.0,0.0007480008809146418
