,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.0,0.0,0.0,0.0,0.0
1994,8.329082872716269e-17,0.0,0.0,0.0,8.245792043989107e-15
1995,6.994164981396638e-16,0.0,0.0,0.0,6.924223331582672e-14
1996,2.5944847127768604e-15,0.0,0.0,0.0,2.5685398656490916e-13
1997,7.267034074877097e-15,0.0,0.0,0.0,7.194363734128325e-13
1998,1.6647586180334445e-14,0.0,0.0,0.0,1.6481110318531101e-12
1999,3.392800242309756e-14,0.0,0.0,0.0,3.358872239886658e-12
2000,9.222070265820212e-14,0.0,0.0,0.0,9.12984956316201e-12
2001,3.5416373912426386e-13,0.0,0.0,0.0,3.506221017330212e-11
2002,1.0768836393010552e-12,0.0,0.0,0.0,1.0661148029080445e-10
2003,2.6155241583327175e-12,0.0,0.0,0.0,2.5893689167493904e-10
2004,5.395288458292211e-12,0.0,0.0,0.0,5.341335573709288e-10
2005,1.0000185107815423e-11,0.0,0.0,0.0,9.90018325673727e-10
2006,1.7257900834819622e-11,0.0,0.0,0.0,1.7085321826471427e-09
2007,2.848036835506244e-11,0.0,0.0,0.0,2.8195564671511816e-09
2008,4.633960925923644e-11,0.0,0.0,0.0,4.5876213166644074e-09
2009,7.453656925129669e-11,0.0,0.0,0.0,7.379120355878372e-09
2010,1.1778872651065477e-10,0.0,0.0,0.0,1.1661083924554825e-08
2011,1.8272692168963792e-10,0.0,0.0,0.0,1.8089965247274154e-08
2012,2.7822936364592084e-10,0.0,0.0,0.0,2.754470700094616e-08
2013,4.1540096054342387e-10,0.0,0.0,0.0,4.1124695093798964e-08
2014,6.080154650443077e-10,0.0,0.0,0.0,6.019353103938646e-08
2015,8.733564452869166e-10,0.0,0.0,0.0,8.646228808340474e-08
2016,1.2328436571943496e-09,0.0,0.0,0.0,1.2205152206224062e-07
2017,1.7127145481152998e-09,0.0,0.0,0.0,1.6955874026341467e-07
2018,2.3408005860314417e-09,0.0,0.0,0.0,2.317392580171127e-07
2019,3.144198675672921e-09,0.0,0.0,0.0,3.112756688916191e-07
2020,8.714003320295137e-08,0.0,0.0,0.0,3.2781250585872185e-07
2021,1.1295283696508988e-07,0.0,0.0,0.0,4.2491781524962393e-07
2022,1.4376213144487114e-07,0.0,0.0,0.0,5.40819446864039e-07
2023,1.7976140739294447e-07,0.0,0.0,0.0,6.762452944782197e-07
2024,2.2094069756040055e-07,0.0,0.0,0.0,8.311578622510307e-07
2025,2.671076607301696e-07,0.0,0.0,0.0,1.0048335808420667e-06
2026,3.1644731818718863e-07,0.0,0.0,0.0,1.1904446731803763e-06
2027,3.711243224574331e-07,0.0,0.0,0.0,1.3961343559112961e-06
2028,4.285188331356692e-07,0.0,0.0,0.0,1.6120470389389461e-06
2029,4.889787708033082e-07,0.0,0.0,0.0,1.8394915663553024e-06
2030,5.493175245005381e-07,0.0,0.0,0.0,2.0664802112163105e-06
2031,6.091920066224527e-07,0.0,0.0,0.0,2.291722310627322e-06
2032,6.684986023907232e-07,0.0,0.0,0.0,2.51482807566034e-06
2033,7.13654507237581e-07,0.0,0.0,0.0,2.6847002891318525e-06
2034,7.683487264498703e-07,0.0,0.0,0.0,2.890454732835227e-06
2035,8.208462693468521e-07,0.0,0.0,0.0,3.087945489447682e-06
2036,8.603744979450481e-07,0.0,0.0,0.0,3.2366469208408954e-06
2037,9.028443457593982e-07,0.0,0.0,0.0,3.39641444357107e-06
2038,9.446758984835217e-07,0.0,0.0,0.0,3.5537807609618206e-06
2039,9.875257413166344e-07,0.0,0.0,0.0,3.7149777887625773e-06
2040,1.026323703018467e-06,0.0,0.0,0.0,3.8609320256409e-06
2041,1.063238618870919e-06,0.0,0.0,0.0,3.999802423371553e-06
2042,1.0990842736951502e-06,0.0,0.0,0.0,4.1346503629484225e-06
2043,1.1762676317432296e-06,0.0,0.0,0.0,4.425006805129292e-06
2044,1.2665472002477522e-06,0.0,0.0,0.0,4.7646299437891645e-06
2045,1.333228867201045e-06,0.0,0.0,0.0,5.015480024232503e-06
2046,1.4433440344628087e-06,0.0,0.0,0.0,5.429722796312472e-06
2047,1.5514400624327234e-06,0.0,0.0,0.0,5.836369758675484e-06
2048,1.6480553437623397e-06,0.0,0.0,0.0,6.199827245582135e-06
2049,1.7316026343428494e-06,0.0,0.0,0.0,6.514124195861196e-06
2050,1.8010860994837012e-06,0.0,0.0,0.0,6.775514374248211e-06
