,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.004421373461706591,0.00366973997321647,0.0002550792381753802,0.0,0.0001564485994142332
1994,0.0002854233801195222,0.0002369014054992034,1.646673346843397e-05,0.0,1.009959652730617e-05
1995,0.011023426838312917,0.00914944427579972,0.0006359669329795912,0.0,0.00039005971889414934
1996,0.00880717566790871,0.007309955804364229,0.0005081062885331948,0.0,0.0003116385236336928
1997,0.03387569824567872,0.02811682954391334,0.001954367206481465,0.0,0.0011986785533086319
1998,0.08446301640652483,0.0701043036174156,0.004872866331145662,0.0,0.0029886913497693397
1999,1.7542650432114795,1.4560399858655277,0.10120759864681611,0.0,0.06207399383671389
2000,0.8068262903180913,0.6696658209640157,0.04654767059527449,0.0,0.028549237965101688
2001,2.117663431398459,1.7576606480607209,0.12217289027298801,0.0,0.07493270603409932
2002,3.3928983864668827,2.816105660767512,0.19574413768078167,0.0,0.12005640444421276
2003,9.521259557921107,7.902645433074519,0.5493034360339101,0.0,0.3369061074341315
2004,18.703361484417243,15.523790032066312,1.0790400856394564,0.0,0.6618112525255332
2005,31.843534907648138,26.430133973347953,1.837127013902777,0.0,1.1267712351937034
2006,73.24422575052947,60.79270737293945,4.225628408684392,0.0,2.591718757326427
2007,88.24833173220529,73.24611533773039,5.091249907627228,0.0,3.122633276678033
2008,146.33716860129988,121.4598499390789,8.442528957767301,0.0,5.178084427430611
2009,241.3481046796913,200.31892688414374,13.923929116136033,0.0,8.540009857896768
2010,359.15056621467727,298.0949699581821,20.720224973923685,0.0,12.708404650673195
2011,565.7549902650896,469.5766419200244,32.63971097683209,0.0,20.019022732457017
2012,818.8677563269878,679.6602377513998,47.24237055732621,0.0,28.975320608493412
2013,1205.5889794391653,1000.6388529345072,69.55321035225954,0.0,42.65930234938585
2014,1761.8462027963249,1462.3323483209494,101.6449732382495,0.0,62.34225025279303
2015,2430.48844752464,2017.3054114454508,140.22048735719073,0.0,86.00189891241033
2016,3309.831632658631,2747.1602551066635,190.95182496107486,0.0,117.11711930945924
2017,4488.471064866035,3725.4309838388085,258.95025374227123,0.0,158.8228222952597
2018,6004.423736231462,4983.671701072112,346.4090617056612,0.0,212.46422451280554
2019,7876.969435215603,6537.88463122895,454.4405443393617,0.0,278.7235338614752
2020,17554.39042837795,1006.4517178936686,585.1463476125982,0.0,358.88975986906024
2021,22230.1241415537,1274.527117449078,741.0041380517899,0.0,454.4825380050978
2022,27582.26872870215,1581.383407112256,919.408957623405,0.0,563.9041606756884
2023,33612.034375250696,1927.089970847706,1120.4011458416899,0.0,687.1793694495698
2024,40243.064217881045,2307.269015158512,1341.435473929368,0.0,822.7470906766791
2025,47362.50229618021,2715.4501316476644,1578.7500765393402,0.0,968.3000469441287
2026,54523.732693843944,3126.027341113718,1817.4577564614647,0.0,1114.7074239630317
2027,62126.25411371899,3561.905235853221,2070.8751371239664,0.0,1270.136750769366
2028,69595.30442675036,3990.1307871336853,2319.8434808916786,0.0,1422.8373349468961
2029,76992.42829980631,4414.232555855559,2566.41427666021,0.0,1574.0674230182622
2030,83609.13144257432,4793.590202707592,2786.9710480858103,0.0,1709.3422428259637
2031,89458.32797047374,5128.944136973825,2981.9442656824576,0.0,1828.9258162852407
2032,94582.85675740744,5422.750454091358,3152.761891913581,0.0,1933.6939603736632
2033,95570.93602284906,5479.400331976677,3185.6978674283014,0.0,1953.8946920226917
2034,99446.26984259565,5701.586137642148,3314.8756614198546,0.0,2033.1237390041777
2035,101784.6652457441,5835.654140755993,3392.8221748581363,0.0,2080.9309339129904
2036,101762.67777591903,5834.393525819356,3392.089259197301,0.0,2080.481412307678
2037,103171.45778492247,5915.163579668885,3439.0485928307485,0.0,2109.2831369361925
2038,101679.96973494878,5829.651598137061,3389.3323244982926,0.0,2078.7904923589526
2039,103306.21977844111,5922.889933963955,3443.54065928137,0.0,2112.038271025907
2040,104720.20315976614,6003.958314493257,3490.6734386588714,0.0,2140.9463757107746
2041,102182.67824475103,5858.473552699057,3406.0892748250344,0.0,2089.0680885593547
2042,104893.49405013368,6013.893658874328,3496.4498016711223,0.0,2144.4892116916217
2043,114575.08942199596,6568.971793527765,3819.169647399865,0.0,2342.4240504052505
2044,125683.71734910486,7205.866461348675,4189.457244970162,0.0,2569.5337769150324
2045,136297.66534212328,7814.3994796150655,4543.255511404109,0.0,2786.5300469945205
2046,146815.69544528006,8417.433205529387,4893.856514842669,0.0,3001.5653291035032
2047,157370.77147129708,9022.590897687694,5245.692382376569,0.0,3217.3579945242955
2048,168400.56329991765,9654.965629195274,5613.352109997255,0.0,3442.855960798316
2049,178019.1856972277,10206.433313307716,5933.972856574255,0.0,3639.5033520322104
2050,186053.28614154112,10667.05507211502,6201.776204718037,0.0,3803.7560722270623
