,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,7.640962626351999e-09,6.478009807355854e-09,2.62753614286399e-10,4.142623734760178e-11,4.421335258944907e-09
1994,3.3012301353733585e-10,2.7684467913448625e-10,1.017829214803742e-09,6.341253400746406e-13,1.0694135969916933e-09
1995,1.774949973373098e-08,1.5022273044682872e-08,9.06029858817197e-09,8.552055592714031e-11,1.7982016595360665e-08
1996,1.0191365304382117e-08,8.546687664668749e-09,3.1434057657241104e-08,1.9607944230680985e-11,3.303563833346801e-08
1997,4.483366405534232e-08,3.7752905234029466e-08,8.710441047673038e-08,1.440327546999344e-10,1.0109860886706895e-07
1998,1.1518800262533504e-07,9.707801940914557e-08,1.969647257806137e-07,4.008084890472525e-10,2.3661460557683373e-07
1999,2.9782531601476373e-06,2.5237489548526356e-06,4.896215890797267e-07,1.549326027550353e-08,2.1336514795117734e-06
2000,1.2355943256606894e-06,1.0445344469171337e-06,1.0557900110283248e-06,5.497660438486738e-09,1.6249516117803014e-06
2001,3.0817543848640833e-06,2.6019975913316927e-06,3.862647518395662e-06,1.224405908126265e-08,5.133384144348591e-06
2002,4.11691556128739e-06,3.4575346403326093e-06,1.1442517865938175e-05,9.74646358141032e-09,1.235249482313158e-05
2003,1.222833614704216e-05,1.028813085639827e-05,2.7740754313606144e-05,3.588168375472172e-08,3.121812795963858e-05
2004,2.3638713835452892e-05,1.9878375855764692e-05,5.706306380569636e-05,6.550859205010986e-08,6.343662106749945e-05
2005,3.902142633193913e-05,3.278305443534332e-05,0.00010561389623177191,9.529986232894681e-08,0.00011467406351969673
2006,9.862772774808058e-05,8.310625680752117e-05,0.0001835743743544623,3.2872347274789456e-07,0.00021702253716764122
2007,0.00010765183649594505,9.044144863167525e-05,0.00030203682833848786,2.3887796968698975e-07,0.0003256693264383052
2008,0.00017830035731303262,0.00014976803673407826,0.0004946005612586367,4.306114765560702e-07,0.0005351873163937384
2009,0.000298295667088611,0.00025070530694275956,0.0008002038166707808,7.271684727438986e-07,0.0008717986279466243
2010,0.0004357523548965021,0.00036601734287778763,0.0012683504524279062,9.482977053963169e-07,0.001362006694676741
2011,0.0006888568821300596,0.0005786464205659102,0.0019705583204756125,1.6201168151471017e-06,0.002126170164605055
2012,0.0009864850901239116,0.0008284059898522754,0.002989504379924201,2.1105002021664242e-06,0.0031956554830879663
2013,0.0014548435598520193,0.0012218141971206476,0.004438608226326144,3.1053964930054776e-06,0.004744894698515537
2014,0.0021374565959559216,0.0017954162120571138,0.006448633951543456,4.743645529925036e-06,0.006916265844448494
