,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.0,0.0,0.0,0.0,0.0
1994,8.329082872716269e-17,0.0,0.0,0.0,8.245792043989107e-15
1995,6.994164981396638e-16,0.0,0.0,0.0,6.924223331582672e-14
1996,2.5944847127768604e-15,0.0,0.0,0.0,2.5685398656490916e-13
1997,7.267034074877097e-15,0.0,0.0,0.0,7.194363734128325e-13
1998,1.6647586180334445e-14,0.0,0.0,0.0,1.6481110318531101e-12
1999,3.392800242309756e-14,0.0,0.0,0.0,3.358872239886658e-12
2000,9.222070265820212e-14,0.0,0.0,0.0,9.12984956316201e-12
2001,3.5416518954955923e-13,0.0,0.0,0.0,3.5062353765406365e-11
2002,1.0768836400262292e-12,0.0,0.0,0.0,1.0661148036259667e-10
2003,2.6155293349247556e-12,0.0,0.0,0.0,2.589374041575508e-10
2004,5.395301164611944e-12,0.0,0.0,0.0,5.341348152965824e-10
2005,1.00002092664365e-11,0.0,0.0,0.0,9.900207173772135e-10
2006,1.7258030088488878e-11,0.0,0.0,0.0,1.708544978760399e-09
2007,2.8480579447539734e-11,0.0,0.0,0.0,2.8195773653064332e-09
2008,4.6339610966723073e-11,0.0,0.0,0.0,4.587621485705584e-09
2009,7.453695065406636e-11,0.0,0.0,0.0,7.3791581147525696e-09
2010,1.177897778607806e-10,0.0,0.0,0.0,1.1661188008217278e-08
2011,1.8272718426297713e-10,0.0,0.0,0.0,1.8089991242034737e-08
2012,2.78230631519593e-10,0.0,0.0,0.0,2.7544832520439706e-08
2013,4.154030445173175e-10,0.0,0.0,0.0,4.1124901407214435e-08
2014,6.080174548838199e-10,0.0,0.0,0.0,6.019372803349816e-08
2015,8.733620693159702e-10,0.0,0.0,0.0,8.646284486228105e-08
2016,1.2328473848151106e-09,0.0,0.0,0.0,1.2205189109669595e-07
2017,1.7127177536892015e-09,0.0,0.0,0.0,1.6955905761523093e-07
2018,2.340809066582738e-09,0.0,0.0,0.0,2.3174009759169102e-07
2019,3.144200116387029e-09,0.0,0.0,0.0,3.112758115223159e-07
2020,8.713984093683093e-08,0.0,0.0,0.0,3.278117825718878e-07
2021,1.1295069318694438e-07,0.0,0.0,0.0,4.2490975056040987e-07
2022,1.437441277763683e-07,0.0,0.0,0.0,5.407517187777665e-07
2023,1.7967503622295733e-07,0.0,0.0,0.0,6.759203743625538e-07
2024,2.2066418192346647e-07,0.0,0.0,0.0,8.301176367597072e-07
2025,2.6641683042290816e-07,0.0,0.0,0.0,1.0022347430195115e-06
2026,3.1498079483701006e-07,0.0,0.0,0.0,1.184927752005895e-06
2027,3.68347577652005e-07,0.0,0.0,0.0,1.3856885064051618e-06
2028,4.236820782870859e-07,0.0,0.0,0.0,1.5938516278418947e-06
2029,4.810761868009689e-07,0.0,0.0,0.0,1.8097627979655496e-06
2030,5.370511027535102e-07,0.0,0.0,0.0,2.020335100834634e-06
2031,5.9094361676334e-07,0.0,0.0,0.0,2.2230736059192317e-06
2032,6.423143779339597e-07,0.0,0.0,0.0,2.4163255169896583e-06
2033,6.772452883620484e-07,0.0,0.0,0.0,2.5477322752667536e-06
2034,7.191117541810056e-07,0.0,0.0,0.0,2.7052299323952117e-06
2035,7.559125843042939e-07,0.0,0.0,0.0,2.843671150478058e-06
2036,7.76684126015307e-07,0.0,0.0,0.0,2.921811712152822e-06
2037,7.97249637906986e-07,0.0,0.0,0.0,2.999177209269138e-06
2038,8.140718948395499e-07,0.0,0.0,0.0,3.062460937729736e-06
2039,8.28999106930867e-07,0.0,0.0,0.0,3.118615687978024e-06
2040,8.373099215545538e-07,0.0,0.0,0.0,3.149880181086179e-06
2041,8.416737977443041e-07,0.0,0.0,0.0,3.166296667704763e-06
2042,8.435365311614241e-07,0.0,0.0,0.0,3.1733040934167856e-06
2043,8.86057441664498e-07,0.0,0.0,0.0,3.3332637091188263e-06
2044,9.418216091587191e-07,0.0,0.0,0.0,3.5430431963589914e-06
2045,9.749801710307602e-07,0.0,0.0,0.0,3.667782548163336e-06
2046,1.0533715176280138e-06,0.0,0.0,0.0,3.962683328219671e-06
2047,1.1322614415843406e-06,0.0,0.0,0.0,4.259459708817282e-06
2048,1.2027725652843926e-06,0.0,0.0,0.0,4.5247158408317626e-06
2049,1.263746496604294e-06,0.0,0.0,0.0,4.754093963416153e-06
2050,1.3144564618216042e-06,0.0,0.0,0.0,4.944860023043178e-06
