,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.0,1.3093386173696237e-11,0.0,2.1137305033769713e-12,4.350761952784265e-11
1994,0.0,9.6787338076345e-13,0.0,1.5624861752235065e-13,3.2161173773350504e-12
1995,0.0,3.343574087067501e-11,0.0,5.3976980777771325e-12,1.1110261876757929e-10
1996,0.0,2.98484053485945e-11,0.0,4.818576648203597e-12,9.918236934219069e-11
1997,0.0,1.102971880548653e-10,0.0,1.780582408060606e-11,3.6650321232580803e-10
1998,0.0,2.7214664471145426e-10,0.0,4.3933987487050916e-11,9.043079091084646e-10
1999,0.0,5.186288685077522e-09,0.0,8.372483975909903e-10,1.7233362850414547e-08
2000,0.0,2.4863733974904534e-09,0.0,4.01387633675589e-10,8.261895459822537e-09
2001,0.0,6.612111893324353e-09,0.0,1.0674261352451872e-09,2.1971187950463434e-08
2002,0.0,1.1227960184132204e-08,0.0,1.8125855005773963e-09,3.73090515535514e-08
2003,0.0,3.096669639368124e-08,0.0,4.999107937993384e-09,1.0289830505703048e-07
2004,0.0,6.102136635369251e-08,0.0,9.85098290911628e-09,2.027660648793101e-07
2005,0.0,1.0473915798897666e-07,0.0,1.6908563621538836e-08,3.480346012100076e-07
2006,0.0,2.3306236063466655e-07,0.0,3.762441696344393e-08,7.744359158308874e-07
2007,0.0,2.8864031678991445e-07,0.0,4.659664306922387e-08,9.591142365081912e-07
2008,0.0,4.819014497454118e-07,0.0,7.779574973468531e-08,1.601295848705606e-06
2009,0.0,7.884211191001927e-07,0.0,1.2727874568433606e-07,2.6198208486692498e-06
2010,0.0,1.1803058461771603e-06,0.0,1.9054264781335325e-07,3.9220028341581874e-06
2011,0.0,1.8721828977914506e-06,0.0,3.0223580412776784e-07,6.221020301629888e-06
2012,0.0,2.7243082755192574e-06,0.0,4.397986453753062e-07,9.052522117308385e-06
2013,0.0,4.024875947307421e-06,0.0,6.497557583097182e-07,1.3374139358541699e-05
2014,0.0,5.901830632683869e-06,0.0,9.527618958592794e-07,1.9611015689770168e-05
2015,0.0,8.202482320019255e-06,0.0,1.324167549420149e-06,2.7255782058898065e-05
2016,0.0,1.1264282921960225e-05,0.0,1.8184492609442518e-06,3.742974728776917e-05
2017,0.0,1.536510200837704e-05,0.0,2.480464898213334e-06,5.1056235821557784e-05
2018,0.0,2.0631347221681257e-05,0.0,3.330621076145853e-06,6.855528381733546e-05
2019,0.0,2.71998033589058e-05,0.0,4.390999645383897e-06,9.03814093674852e-05
2020,0.0,3.516957473898743e-05,0.0,5.677599509432949e-06,0.00011686392323582818
2021,0.0,4.4698390089139e-05,0.0,7.2158836018341e-06,0.0001485269374710852
2022,0.0,5.5652889760632565e-05,0.0,8.984323010685078e-06,0.00018492731530326783
2023,0.0,6.80509144893764e-05,0.0,1.0985797854787221e-05,0.00022612433917770363
2024,0.0,8.175827958018088e-05,0.0,1.3198646030881219e-05,0.00027167213080230506
2025,0.0,9.656927311275438e-05,0.0,1.5589658439727166e-05,0.00032088713621771745
2026,0.0,0.00011160268678114846,0.0,1.801657723821231e-05,0.00037084121481987
2027,0.0,0.00012769609227936663,0.0,2.0614615793978468e-05,0.0004243175084260568
2028,0.0,0.0001437146166178513,0.0,2.3200565911402003e-05,0.00047754498167635787
2029,0.0,0.0001597703341706172,0.0,2.57925203145391e-05,0.0005308960431409297
2030,0.0,0.00017449487758667992,0.0,2.8169576650764476e-05,0.0005798237860615687
2031,0.0,0.00018790950112793984,0.0,3.0335166101371457e-05,0.0006243988355865625
2032,0.0,0.00020005079216991718,0.0,3.229519514850681e-05,0.0006647427668067651
2033,0.0,0.00020435612032520287,0.0,3.299022570272334e-05,0.0006790488123810552
2034,0.0,0.00021409096188171418,0.0,3.4561769631128755e-05,0.0007113964249074
2035,0.0,0.00022087086755244825,0.0,3.5656283551067885e-05,0.0007339251697594804
2036,0.0,0.00022338746519404403,0.0,3.606255043491294e-05,0.000742287496451958
2037,0.0,0.0002284910155011517,0.0,3.6886441964311495e-05,0.0007592459304320781
2038,0.0,0.00022863732411194923,0.0,3.6910061291615125e-05,0.0007597320949190779
2039,0.0,0.00023399301661493216,0.0,3.777465739075139e-05,0.0007775283646262992
2040,0.0,0.0002381956931739177,0.0,3.8453116386820794e-05,0.0007914933122953946
2041,0.0,0.0002357411555887695,0.0,3.805686816679687e-05,0.0007833372030999023
2042,0.0,0.0002441474366996566,0.0,3.9413935969451286e-05,0.0008112701820378722
2043,0.0,0.00026440366520312356,0.0,4.268399976373295e-05,0.0008785789951368366
2044,0.0,0.00028821808113962255,0.0,4.652847946648616e-05,0.00095771120235184
2045,0.0,0.0003104882695775386,0.0,5.012366683762956e-05,0.001031712142407875
2046,0.0,0.00033298606837781823,0.0,5.3755598482517745e-05,0.0011064694020984903
2047,0.0,0.0003577394648388344,0.0,5.7751662485193e-05,0.001188721719486889
2048,0.0,0.0003798090611725419,0.0,6.131446727449108e-05,0.0012620561180666078
2049,0.0,0.0003988326413618656,0.0,6.438553851581687e-05,0.0013252690011172307
2050,0.0,0.0004145862796071613,0.0,6.692872675272559e-05,0.0013776162923269351
