,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
1993,0.0,0.0,0.0,0.0,0.0
1994,4.997449723629762e-16,0.0,0.0,0.0,4.947475226393465e-14
1995,4.196498988837984e-15,0.0,0.0,0.0,4.154533998949604e-13
1996,1.5566908276661167e-14,0.0,0.0,0.0,1.5411239193894553e-12
1997,4.3602204449262577e-14,0.0,0.0,0.0,4.316618240476995e-12
1998,9.988551708200668e-14,0.0,0.0,0.0,9.88866619111866e-12
1999,2.0356801453858536e-13,0.0,0.0,0.0,2.0153233439319948e-11
2000,5.533242159492125e-13,0.0,0.0,0.0,5.4779097378972034e-11
2001,2.124886658948023e-12,0.0,0.0,0.0,2.1036377923585424e-10
2002,6.4606355120772e-12,0.0,0.0,0.0,6.396029156956428e-10
2003,1.5688435564153053e-11,0.0,0.0,0.0,1.5531551208511523e-09
2004,3.2362468379241407e-11,0.0,0.0,0.0,3.203884369544899e-09
2005,6.003243464264079e-11,0.0,0.0,0.0,5.943211029621438e-09
2006,1.0377937890483711e-10,0.0,0.0,0.0,1.0274158511578875e-08
2007,1.7164998400031602e-10,0.0,0.0,0.0,1.6993348416031287e-08
2008,2.80028146702051e-10,0.0,0.0,0.0,2.772278652350305e-08
2009,4.510491893667006e-10,0.0,0.0,0.0,4.4653869747303366e-08
2010,7.127623851646632e-10,0.0,0.0,0.0,7.056347613130165e-08
2011,1.1037239467903432e-09,0.0,0.0,0.0,1.0926867073224399e-07
2012,1.674978318289506e-09,0.0,0.0,0.0,1.658228535106611e-07
2013,2.490073713628912e-09,0.0,0.0,0.0,2.465172976492623e-07
2014,3.6263689100466998e-09,0.0,0.0,0.0,3.590105220946233e-07
2015,5.1796753763626306e-09,0.0,0.0,0.0,5.127878622599004e-07
2016,7.270896359138234e-09,0.0,0.0,0.0,7.198187395546852e-07
2017,1.0064346347292008e-08,0.0,0.0,0.0,9.963702883819088e-07
2018,1.3743099272130688e-08,0.0,0.0,0.0,1.360566827940938e-06
2019,1.8496482914260173e-08,0.0,0.0,0.0,1.8311518085117568e-06
2020,5.152111701305005e-07,0.0,0.0,0.0,1.938175354300454e-06
2021,6.728684991891537e-07,0.0,0.0,0.0,2.531267211235388e-06
2022,8.643475673441098e-07,0.0,0.0,0.0,3.251593229532604e-06
2023,1.0919183402810247e-06,0.0,0.0,0.0,4.1076928039143305e-06
2024,1.3565076536393277e-06,0.0,0.0,0.0,5.103052601786043e-06
2025,1.6577550506836818e-06,0.0,0.0,0.0,6.236316619238613e-06
2026,1.9852752368176157e-06,0.0,0.0,0.0,7.4684163670757935e-06
2027,2.3521470135628594e-06,0.0,0.0,0.0,8.848553051022185e-06
2028,2.742193351629235e-06,0.0,0.0,0.0,1.03158702275576e-05
2029,3.1561839782340497e-06,0.0,0.0,0.0,1.1873263537166188e-05
2030,3.572478212159889e-06,0.0,0.0,0.0,1.3439322798125297e-05
2031,3.986408227224705e-06,0.0,0.0,0.0,1.499648809289294e-05
2032,4.393008002629393e-06,0.0,0.0,0.0,1.6526077724177237e-05
2033,4.704526140074447e-06,0.0,0.0,0.0,1.7697979288851494e-05
2034,5.065366065096135e-06,0.0,0.0,0.0,1.9055424721075936e-05
2035,5.386432380242331e-06,0.0,0.0,0.0,2.026324562091163e-05
2036,5.6113137799100125e-06,0.0,0.0,0.0,2.1109228029185284e-05
2037,5.820446737967801e-06,0.0,0.0,0.0,2.189596629997411e-05
2038,5.983836597569138e-06,0.0,0.0,0.0,2.2510623390855334e-05
2039,6.133546288289377e-06,0.0,0.0,0.0,2.307381698927909e-05
2040,6.2293682598822206e-06,0.0,0.0,0.0,2.3434290120509305e-05
2041,6.25772524793668e-06,0.0,0.0,0.0,2.3540966408904658e-05
2042,6.112834890863647e-06,0.0,0.0,0.0,2.299590268467753e-05
2043,6.331113419802193e-06,0.0,0.0,0.0,2.381704572211301e-05
2044,6.612373057708137e-06,0.0,0.0,0.0,2.487511769328299e-05
2045,6.651671027444347e-06,0.0,0.0,0.0,2.502295291276683e-05
2046,7.195788846768058e-06,0.0,0.0,0.0,2.706987232831794e-05
2047,7.734701468354993e-06,0.0,0.0,0.0,2.9097210285716408e-05
2048,8.216376856050869e-06,0.0,0.0,0.0,3.0909227220381845e-05
2049,8.63290180469693e-06,0.0,0.0,0.0,3.24761544081456e-05
2050,8.979311579400274e-06,0.0,0.0,0.0,3.3779314989172464e-05
